region,year,asthma_rate_per100k
BARMM,2013,7199.77695167405
BARMM,2014,7290.119190607436
BARMM,2015,7334.730741529388
BARMM,2016,7340.489187228202
BARMM,2017,7336.63371231606
BARMM,2018,7327.236334430358
BARMM,2019,7316.747223593135
BARMM,2020,7309.112770383394
BARMM,2021,7316.702638080469
BARMM,2022,7326.996441872916
CAR,2013,7374.162078411835
CAR,2014,7476.00312904171
CAR,2015,7525.590119449269
CAR,2016,7527.304565524409
CAR,2017,7515.2589034886
CAR,2018,7496.708885277504
CAR,2019,7478.687167828317
CAR,2020,7468.851874614794
CAR,2021,7485.7575633420565
CAR,2022,7510.177402096063
NCR,2013,8775.45435426002
NCR,2014,8857.13236865092
NCR,2015,8900.66186512467
NCR,2016,8908.29136858556
NCR,2017,8901.98486571772
NCR,2018,8886.098858557349
NCR,2019,8867.05674153916
NCR,2020,8850.4349054899
NCR,2021,8854.7081400714
NCR,2022,8859.471047409701
Region I,2013,7446.780492742688
Region I,2014,7537.216656068027
Region I,2015,7581.1925074556575
Region I,2016,7583.368156607719
Region I,2017,7573.523883253292
Region I,2018,7556.803534510677
Region I,2019,7539.907575964605
Region I,2020,7529.565712000058
Region I,2021,7544.205938100417
Region I,2022,7563.949675041815
Region II,2013,7329.076088598762
Region II,2014,7426.932387416773
Region II,2015,7474.933005555044
Region II,2016,7476.901951087549
Region II,2017,7464.2496359112465
Region II,2018,7443.362488187593
Region II,2019,7421.453041581478
Region II,2020,7406.291485302756
Region II,2021,7425.170556984815
Region II,2022,7451.778024867155
Region III,2013,7415.168192868454
Region III,2014,7507.672524681907
Region III,2015,7554.542147597968
Region III,2016,7558.858621472536
Region III,2017,7548.323116608054
Region III,2018,7528.733019967037
Region III,2019,7508.049705845963
Region III,2020,7494.038431351263
Region III,2021,7513.646610232495
Region III,2022,7539.05162590069
Region IV-A,2013,7428.797327313759
Region IV-A,2014,7527.828917388157
Region IV-A,2015,7581.569331195567
Region IV-A,2016,7596.202404643144
Region IV-A,2017,7600.3049991318985
Region IV-A,2018,7596.279742192006
Region IV-A,2019,7589.000023585196
Region IV-A,2020,7582.925797944867
Region IV-A,2021,7595.533832775986
Region IV-A,2022,7610.045957617775
Region IV-B,2013,7184.824368376217
Region IV-B,2014,7290.395571501411
Region IV-B,2015,7345.878694121379
Region IV-B,2016,7355.946405970952
Region IV-B,2017,7352.591016825626
Region IV-B,2018,7339.966567043727
Region IV-B,2019,7324.1581829377565
Region IV-B,2020,7311.664082874997
Region IV-B,2021,7321.716500275742
Region IV-B,2022,7338.608306099032
Region IX,2013,7257.929455596083
Region IX,2014,7349.785915539146
Region IX,2015,7397.421184864296
Region IX,2016,7406.450682230837
Region IX,2017,7405.3367822201
Region IX,2018,7398.016957453997
Region IX,2019,7389.084482610367
Region IX,2020,7382.871669563553
Region IX,2021,7401.26139730636
Region IX,2022,7421.056110042014
Region V,2013,7176.18708773683
Region V,2014,7272.587715835655
Region V,2015,7320.900040047755
Region V,2016,7325.937279847035
Region V,2017,7319.193695434388
Region V,2018,7305.8829689399145
Region V,2019,7292.140305146284
Region V,2020,7284.4203414023605
Region V,2021,7309.364724440599
Region V,2022,7339.359164773384
Region VI,2013,7345.330656187242
Region VI,2014,7446.359317840055
Region VI,2015,7499.9488738011205
Region VI,2016,7510.2107592647735
Region VI,2017,7506.686417619884
Region VI,2018,7493.28147849847
Region VI,2019,7476.734564726773
Region VI,2020,7464.788483684523
Region VI,2021,7483.827154027593
Region VI,2022,7512.293768394535
Region VII,2013,7266.9557803397975
Region VII,2014,7364.961084192115
Region VII,2015,7414.245741343295
Region VII,2016,7421.454803415375
Region VII,2017,7417.996537336458
Region VII,2018,7407.330833639322
Region VII,2019,7394.45795291573
Region VII,2020,7384.877262612627
Region VII,2021,7405.811636317442
Region VII,2022,7431.496085558467
Region VIII,2013,7014.454128668315
Region VIII,2014,7111.405222792776
Region VIII,2015,7162.890589978797
Region VIII,2016,7173.154668029521
Region VIII,2017,7172.2196549095415
Region VIII,2018,7164.995841967665
Region VIII,2019,7157.475373344463
Region VIII,2020,7155.463974966285
Region VIII,2021,7184.505206590492
Region VIII,2022,7217.581685019435
Region X,2013,7277.830664394004
Region X,2014,7373.642812916699
Region X,2015,7422.5960075196
Region X,2016,7429.926740770106
Region X,2017,7425.881684390983
Region X,2018,7415.091610268673
Region X,2019,7402.823412900034
Region X,2020,7394.629197121457
Region X,2021,7413.156221346884
Region X,2022,7435.068720994927
Region XI,2013,7201.09042608372
Region XI,2014,7290.539215070484
Region XI,2015,7338.406169634429
Region XI,2016,7350.36214372847
Region XI,2017,7353.308845921798
Region XI,2018,7349.4497212097995
Region XI,2019,7342.2033997417075
Region XI,2020,7335.105307420468
Region XI,2021,7341.716496901249
Region XI,2022,7350.935381863787
Region XII,2013,7284.41656428608
Region XII,2014,7377.904081862113
Region XII,2015,7426.259980446197
Region XII,2016,7434.265199734832
Region XII,2017,7431.293576712105
Region XII,2018,7422.094133806792
Region XII,2019,7412.22934494654
Region XII,2020,7407.260615976687
Region XII,2021,7435.505234192316
Region XII,2022,7469.559183136202
Region XIII,2013,7125.65063521211
Region XIII,2014,7222.857420967603
Region XIII,2015,7272.972502152489
Region XIII,2016,7281.501361725675
Region XIII,2017,7278.557482649705
Region XIII,2018,7268.749596585442
Region XIII,2019,7257.195042593716
Region XIII,2020,7249.036746484145
Region XIII,2021,7263.869963718804
Region XIII,2022,7282.618800509583
