region,year,asthma_rate_per100k,pm25,biomass_fuel_pct,data_source
BARMM,2013,7199.77695167405,14.709481,75.8,composite_2013
BARMM,2014,7290.119190607436,14.722514,79.51666666666667,interpolated
BARMM,2015,7334.730741529388,17.321379,83.23333333333333,interpolated
BARMM,2016,7340.489187228202,15.022738,86.95,interpolated
BARMM,2017,7336.63371231606,13.513163,90.66666666666667,real_2017
BARMM,2018,7327.236334430358,15.112575,90.15333333333334,interpolated
BARMM,2019,7316.747223593135,13.253559,89.64,interpolated
BARMM,2020,7309.112770383394,12.35299,89.12666666666667,interpolated
BARMM,2021,7316.702638080469,13.5529,88.61333333333333,interpolated
BARMM,2022,7326.996441872916,15.47805,88.1,real_2022
CAR,2013,7374.162078411835,14.525847,69.18560000000001,composite_2013
CAR,2014,7476.00312904171,14.021828,66.12253333333334,interpolated
CAR,2015,7525.590119449269,14.033639,63.05946666666667,interpolated
CAR,2016,7527.304565524409,13.636843,59.99640000000001,interpolated
CAR,2017,7515.2589034886,13.430938,56.93333333333334,real_2017
CAR,2018,7496.708885277502,14.05359,50.42666666666667,interpolated
CAR,2019,7478.687167828317,15.306977,43.92,interpolated
CAR,2020,7468.851874614794,13.590997,37.413333333333334,interpolated
CAR,2021,7485.757563342056,13.508479,30.906666666666666,interpolated
CAR,2022,7510.177402096063,13.923188,24.4,real_2022
NCR,2013,8775.45435426002,23.69277,38.7,composite_2013
NCR,2014,8857.13236865092,25.681744,30.025000000000002,interpolated
NCR,2015,8900.66186512467,24.73103,21.35,interpolated
NCR,2016,8908.29136858556,26.722162,12.675,interpolated
NCR,2017,8901.98486571772,22.564716,4.0,real_2017
NCR,2018,8886.098858557349,24.520508,3.44,interpolated
NCR,2019,8867.05674153916,30.654888,2.88,interpolated
NCR,2020,8850.4349054899,30.448298,2.3200000000000003,interpolated
NCR,2021,8854.7081400714,26.783203,1.7600000000000002,interpolated
NCR,2022,8859.471047409701,31.587173,1.2,real_2022
Region I,2013,7446.780492742688,16.000214,75.7152,composite_2013
Region I,2014,7537.216656068027,16.30951,69.48015,interpolated
Region I,2015,7581.1925074556575,15.451781,63.245099999999994,interpolated
Region I,2016,7583.368156607719,16.229641,57.01005,interpolated
Region I,2017,7573.523883253292,16.687716,50.775,real_2017
Region I,2018,7556.803534510677,14.314774,49.22,interpolated
Region I,2019,7539.907575964605,16.628056,47.665,interpolated
Region I,2020,7529.565712000058,14.634796,46.11,interpolated
Region I,2021,7544.205938100417,14.345316,44.555,interpolated
Region I,2022,7563.949675041815,15.88438,43.0,real_2022
Region II,2013,7329.076088598762,11.683477,76.1392,composite_2013
Region II,2014,7426.932387416773,13.2136,73.07315,interpolated
Region II,2015,7474.933005555044,12.17592,70.00710000000001,interpolated
Region II,2016,7476.901951087549,12.411015,66.94105,interpolated
Region II,2017,7464.2496359112465,13.363348,63.875,real_2017
Region II,2018,7443.362488187593,12.300357,60.78,interpolated
Region II,2019,7421.453041581478,12.702661,57.685,interpolated
Region II,2020,7406.291485302756,12.371663,54.59,interpolated
Region II,2021,7425.170556984815,12.4439945,51.495,interpolated
