region,year,copd_prevalence_rate_per100k,pm25
BARMM,2013,964.456795854776,14.709481
BARMM,2014,965.6565357761862,14.722514
BARMM,2015,968.8848237035302,17.321379
BARMM,2016,972.8557013284,15.022738
BARMM,2017,975.28113725983,13.513163
BARMM,2018,976.133024831566,15.112575
BARMM,2019,976.786695912572,13.253559
BARMM,2020,974.263722229226,12.35299
BARMM,2021,963.072333142938,13.5529
BARMM,2022,952.421902641888,15.47805
CAR,2013,1314.38720795896,14.525847
CAR,2014,1309.550596607645,14.021828
CAR,2015,1312.9055500012882,14.033639
CAR,2016,1325.8970838425466,13.636843
CAR,2017,1338.00102626379,13.430938
CAR,2018,1348.9339037905384,14.05359
CAR,2019,1361.34552019971,15.306977
CAR,2020,1371.361621319895,13.590997
CAR,2021,1382.1790546257764,13.508479
CAR,2022,1386.593739927168,13.923188
NCR,2013,1677.32848852975,23.69277
NCR,2014,1687.70906941487,25.681744
NCR,2015,1700.50972314375,24.73103
NCR,2016,1715.7606912397798,26.722162
NCR,2017,1733.8241469911898,22.564716
NCR,2018,1759.9419336423505,24.520508
NCR,2019,1793.1698536027898,30.654888
NCR,2020,1824.4642124986497,30.448298
NCR,2021,1845.35126153917,26.783203
NCR,2022,1870.91316415886,31.587173
Region I,2013,1695.262769317565,16.000214
Region I,2014,1678.408102751765,16.30951
Region I,2015,1672.8980431927775,15.451781
Region I,2016,1683.3252118596124,16.229641
Region I,2017,1697.3818309982023,16.687716
Region I,2018,1714.7197244341023,14.314774
Region I,2019,1736.161278996585,16.628056
Region I,2020,1751.1681863446574,14.634796
Region I,2021,1756.314369913315,14.345316
Region I,2022,1753.7077552811102,15.88438
Region II,2013,1665.3534399148898,11.683477
Region II,2014,1655.851045262662,13.2136
Region II,2015,1653.142512601094,12.17592
Region II,2016,1658.476981377406,12.411015
Region II,2017,1663.933563224096,13.363348
Region II,2018,1671.318282246666,12.300357
Region II,2019,1683.453951498488,12.702661
Region II,2020,1695.623452306078,12.371663
Region II,2021,1706.5917226991162,12.4439945
Region II,2022,1713.773680543814,12.057312
Region III,2013,1557.8756147697957,14.365173
Region III,2014,1555.4514395381373,15.713983
Region III,2015,1560.2185854745658,16.311563
Region III,2016,1574.1030258693445,15.49025
Region III,2017,1589.8912475913698,17.510162
Region III,2018,1606.81716169614,14.416021
Region III,2019,1625.6527744602658,14.871601
Region III,2020,1641.5606323453244,15.508487
Region III,2021,1641.23517517443,15.039597
Region III,2022,1640.2204077656218,15.607844
Region IV-A,2013,1229.265557756356,14.206729
Region IV-A,2014,1220.4430955726862,14.976756
Region IV-A,2015,1220.745388704758,16.66124
Region IV-A,2016,1230.438502191602,14.956944
Region IV-A,2017,1243.0855179233,16.279793
Region IV-A,2018,1258.51798559979,14.319014
Region IV-A,2019,1276.006123017924,15.793301
Region IV-A,2020,1291.037945119698,15.102027
Region IV-A,2021,1292.194073515528,14.599607
Region IV-A,2022,1294.800256172286,15.633523
Region IV-B,2013,1509.503840079346,12.61208
Region IV-B,2014,1507.90570460472,12.67983
Region IV-B,2015,1512.7361960419598,12.608072
Region IV-B,2016,1525.301582362942,11.149527
Region IV-B,2017,1538.212683208456,11.057149
Region IV-B,2018,1551.7059240091398,11.749571
Region IV-B,2019,1567.543640660858,13.134948
Region IV-B,2020,1582.3209378551098,11.962126
Region IV-B,2021,1591.947155593336,11.920432
Region IV-B,2022,1598.404275481868,12.919474
Region IX,2013,1302.5388343599832,14.473359
Region IX,2014,1303.1563274021337,15.140581
Region IX,2015,1309.5673698580968,14.548189
Region IX,2016,1322.6589396768502,12.565103
Region IX,2017,1335.98339458544,12.626498
Region IX,2018,1348.44013701043,14.106626
Region IX,2019,1361.4060680910168,12.495613
Region IX,2020,1372.7139170389337,10.4591255
Region IX,2021,1376.4823304457968,11.959798
Region IX,2022,1378.55553832917,15.467205
Region V,2013,1340.7119382941416,12.01901
Region V,2014,1330.7138057809416,12.610391
Region V,2015,1328.80658216578,13.487049
Region V,2016,1334.4531604537167,10.695949
Region V,2017,1341.2863264853331,11.54687
Region V,2018,1349.76536914109,11.65651
Region V,2019,1360.8371995517166,13.92081
Region V,2020,1371.35332619109,11.533955
Region V,2021,1376.5129574999935,11.306577
Region V,2022,1379.34369351619,12.418019
Region VI,2013,1693.5681475751333,14.335128
Region VI,2014,1682.850745008597,15.440964
Region VI,2015,1680.20284418973,16.225225
Region VI,2016,1687.8302210360334,13.783962
Region VI,2017,1696.61329434254,14.8868475
Region VI,2018,1707.52906713029,13.158613
Region VI,2019,1722.234862677417,15.619741
Region VI,2020,1735.228065436405,14.535312
Region VI,2021,1744.5392943217048,15.035101
Region VI,2022,1748.5296817798217,16.564726
Region VII,2013,1492.003241398695,15.590881
Region VII,2014,1475.1497688044924,16.355497
Region VII,2015,1469.204772102265,16.114704
Region VII,2016,1473.2854849486,13.905567
Region VII,2017,1478.874443793015,14.461564
Region VII,2018,1486.6976378771074,13.666978
Region VII,2019,1498.1666382511726,16.144978
Region VII,2020,1508.633767062995,14.465497
Region VII,2021,1514.684237680975,15.092706
Region VII,2022,1515.3119390815928,16.831034
