region,year,copd_prevalence_rate_per100k
BARMM,2013,964.4567958547759
BARMM,2014,965.6565357761862
BARMM,2015,968.8848237035302
BARMM,2016,972.8557013284001
BARMM,2017,975.2811372598301
BARMM,2018,976.133024831566
BARMM,2019,976.786695912572
BARMM,2020,974.263722229226
BARMM,2021,963.0723331429381
BARMM,2022,952.421902641888
CAR,2013,1314.38720795896
CAR,2014,1309.550596607645
CAR,2015,1312.9055500012882
CAR,2016,1325.8970838425466
CAR,2017,1338.00102626379
CAR,2018,1348.9339037905384
CAR,2019,1361.34552019971
CAR,2020,1371.361621319895
CAR,2021,1382.1790546257764
CAR,2022,1386.5937399271681
NCR,2013,1677.32848852975
NCR,2014,1687.70906941487
NCR,2015,1700.50972314375
NCR,2016,1715.7606912397798
NCR,2017,1733.8241469911898
NCR,2018,1759.9419336423505
NCR,2019,1793.1698536027898
NCR,2020,1824.4642124986497
NCR,2021,1845.35126153917
NCR,2022,1870.91316415886
Region I,2013,1695.262769317565
Region I,2014,1678.408102751765
Region I,2015,1672.8980431927775
Region I,2016,1683.3252118596124
Region I,2017,1697.3818309982025
Region I,2018,1714.7197244341025
Region I,2019,1736.161278996585
Region I,2020,1751.1681863446574
Region I,2021,1756.314369913315
Region I,2022,1753.7077552811102
Region II,2013,1665.3534399148898
Region II,2014,1655.851045262662
Region II,2015,1653.142512601094
Region II,2016,1658.476981377406
Region II,2017,1663.933563224096
Region II,2018,1671.318282246666
Region II,2019,1683.453951498488
Region II,2020,1695.623452306078
Region II,2021,1706.5917226991162
Region II,2022,1713.773680543814
Region III,2013,1557.8756147697957
Region III,2014,1555.4514395381373
Region III,2015,1560.2185854745658
Region III,2016,1574.1030258693443
Region III,2017,1589.8912475913698
Region III,2018,1606.8171616961401
Region III,2019,1625.6527744602658
Region III,2020,1641.5606323453244
Region III,2021,1641.23517517443
Region III,2022,1640.2204077656218
Region IV-A,2013,1229.265557756356
Region IV-A,2014,1220.4430955726862
Region IV-A,2015,1220.745388704758
Region IV-A,2016,1230.4385021916019
Region IV-A,2017,1243.0855179233
Region IV-A,2018,1258.5179855997899
Region IV-A,2019,1276.006123017924
Region IV-A,2020,1291.037945119698
Region IV-A,2021,1292.194073515528
Region IV-A,2022,1294.800256172286
Region IV-B,2013,1509.503840079346
Region IV-B,2014,1507.90570460472
Region IV-B,2015,1512.7361960419598
Region IV-B,2016,1525.301582362942
Region IV-B,2017,1538.212683208456
Region IV-B,2018,1551.7059240091398
Region IV-B,2019,1567.543640660858
Region IV-B,2020,1582.3209378551098
Region IV-B,2021,1591.947155593336
Region IV-B,2022,1598.4042754818681
Region IX,2013,1302.5388343599832
Region IX,2014,1303.1563274021335
Region IX,2015,1309.5673698580968
Region IX,2016,1322.6589396768502
Region IX,2017,1335.98339458544
Region IX,2018,1348.44013701043
Region IX,2019,1361.4060680910168
Region IX,2020,1372.7139170389335
Region IX,2021,1376.4823304457968
Region IX,2022,1378.55553832917
Region V,2013,1340.7119382941416
Region V,2014,1330.7138057809416
Region V,2015,1328.80658216578
Region V,2016,1334.4531604537167
Region V,2017,1341.2863264853333
Region V,2018,1349.7653691410899
Region V,2019,1360.8371995517166
Region V,2020,1371.35332619109
Region V,2021,1376.5129574999935
Region V,2022,1379.34369351619
Region VI,2013,1693.5681475751333
Region VI,2014,1682.850745008597
Region VI,2015,1680.20284418973
Region VI,2016,1687.8302210360334
Region VI,2017,1696.61329434254
Region VI,2018,1707.52906713029
Region VI,2019,1722.2348626774167
Region VI,2020,1735.228065436405
Region VI,2021,1744.5392943217048
Region VI,2022,1748.5296817798217
Region VII,2013,1492.003241398695
Region VII,2014,1475.1497688044924
Region VII,2015,1469.204772102265
Region VII,2016,1473.2854849486
Region VII,2017,1478.874443793015
Region VII,2018,1486.6976378771074
Region VII,2019,1498.1666382511726
Region VII,2020,1508.633767062995
Region VII,2021,1514.684237680975
Region VII,2022,1515.3119390815928
Region VIII,2013,1502.8904180347834
Region VIII,2014,1495.05946602332
Region VIII,2015,1497.5237862318252
Region VIII,2016,1509.066659949125
Region VIII,2017,1522.080642474705
Region VIII,2018,1535.5570215862817
Region VIII,2019,1550.6244890952285
Region VIII,2020,1563.5680526016502
Region VIII,2021,1568.5984766864415
Region VIII,2022,1569.3970848331367
Region X,2013,1333.171764388098
Region X,2014,1323.58244643125
Region X,2015,1320.980981595162
Region X,2016,1324.859749429794
Region X,2017,1328.27379870913
Region X,2018,1332.307400499148
Region X,2019,1338.56171067967
Region X,2020,1344.7220843406599
Region X,2021,1344.7958463633881
Region X,2022,1342.623469607704
Region XI,2013,1142.586187820142
Region XI,2014,1133.605550294502
Region XI,2015,1132.854034720442
Region XI,2016,1139.8929969833
Region XI,2017,1150.063899601376
Region XI,2018,1164.1080937578781
Region XI,2019,1181.427567122676
Region XI,2020,1198.621999532556
Region XI,2021,1208.516282727896
Region XI,2022,1217.4138462245899
Region XII,2013,1266.1731742314876
Region XII,2014,1273.3975107735375
Region XII,2015,1284.1645637337774
Region XII,2016,1298.4956528273474
Region XII,2017,1312.388286800405
Region XII,2018,1325.2437003387774
Region XII,2019,1338.67614134781
Region XII,2020,1351.0443294268125
Region XII,2021,1356.2721460450498
Region XII,2022,1359.131677027485
Region XIII,2013,1356.771701237304
Region XIII,2014,1353.517826997492
Region XIII,2015,1356.3004444865899
Region XIII,2016,1364.80945989588
Region XIII,2017,1372.748387171086
Region XIII,2018,1380.557038596802
Region XIII,2019,1389.766706954668
Region XIII,2020,1398.00456989776
Region XIII,2021,1399.911349872186
Region XIII,2022,1399.8737940479919
