year,station_name,pollutant,value_ugm3
2020,Station 02,PM10,16.397
2020,Station 07/17,PM10,15.31
2020,Station 11,PM10,14.524
2020,Station 14,PM10,21.27
2020,Station 15,PM10,26.42
2020,Station 15,PM2.5,13.85
2020,Station 16,PM10,24.48
2020,Station 16,PM2.5,8.31
2021,Station 02,PM10,18.73
2021,Station 07/17,PM10,18.53
2021,Station 11,PM10,15.02
2021,Station 14,PM10,28.99
2021,Station 15,PM10,29.69
2021,Station 15,PM2.5,13.33
2021,Station 16,PM10,26.89
2021,Station 16,PM2.5,8.37
2022,Station 02,PM10,33.51
2022,Station 07/17,PM10,24.59
2022,Station 11,PM10,14.92
2022,Station 14,PM10,38.03
2022,Station 15,PM10,24.29
2022,Station 15,PM2.5,13.37
2022,Station 16,PM10,24.07
2022,Station 16,PM2.5,15.66
2023,Station 02,PM10,26.0
2023,Station 07/17,PM10,20.0
2023,Station 11,PM10,16.0
2023,Station 14,PM10,47.0
2023,Station 15,PM10,21.0
2023,Station 15,PM2.5,12.7
2023,Station 16,PM10,24.0
2023,Station 16,PM2.5,18.2
2024,Station 02,PM10,23
2024,Station 07/17,PM10,18
2024,Station 11,PM10,16
2024,Station 14,PM10,32
2024,Station 15,PM10,26
2024,Station 15,PM2.5,10.2
2024,Station 16,PM10,34
2024,Station 16,PM2.5,17.8
