region,year,lri_incidence_rate_per100k,pm25
BARMM,2013,2196.799171363366,14.709481
BARMM,2014,2157.910819874518,14.722514
BARMM,2015,2106.484169545264,17.321379
BARMM,2016,2000.4852504765815,15.022738
BARMM,2017,1830.642563793662,13.513163
BARMM,2018,1646.216458678588,15.112575
BARMM,2019,1496.80279552969,13.253559
BARMM,2020,1431.013500897814,12.35299
BARMM,2021,1603.992189191234,13.5529
BARMM,2022,1773.744564833842,15.47805
CAR,2013,2377.9876922973217,14.525847
CAR,2014,2288.9802647986185,14.021828
CAR,2015,2191.1945674941085,14.033639
CAR,2016,2041.5890454942369,13.636843
CAR,2017,1832.9429531700368,13.430938
CAR,2018,1618.5977099662384,14.05359
CAR,2019,1450.6060520520166,15.306977
CAR,2020,1380.4857643920502,13.590997
CAR,2021,1517.4934966223266,13.508479
CAR,2022,1657.3731160936684,13.923188
NCR,2013,2502.5959431587303,23.69277
NCR,2014,2396.4628946503303,25.681744
NCR,2015,2285.40251607233,24.73103
NCR,2016,2138.24990515665,26.722162
NCR,2017,1949.25230213407,22.564716
NCR,2018,1759.0951884652502,24.520508
NCR,2019,1610.94738183219,30.654888
NCR,2020,1546.74135175208,30.448298
NCR,2021,1703.4279455914798,26.783203
NCR,2022,1854.37145404666,31.587173
Region I,2013,2344.6798547265776,16.000214
Region I,2014,2267.187290193645,16.30951
Region I,2015,2175.20245108667,15.451781
Region I,2016,2030.2397122231475,16.229641
Region I,2017,1831.5379816550376,16.687716
Region I,2018,1627.7372212864425,14.314774
Region I,2019,1468.0366332809526,16.628056
Region I,2020,1400.36267158682,14.634796
Region I,2021,1583.2293571950174,14.345316
Region I,2022,1768.8750632600952,15.88438
Region II,2013,2512.430343867064,11.683477
Region II,2014,2438.226472362,13.2136
Region II,2015,2350.062771585452,12.17592
Region II,2016,2210.035249999596,12.411015
Region II,2017,2016.507532961156,13.363348
Region II,2018,1817.289510268242,12.300357
Region II,2019,1660.2349625333322,12.702661
Region II,2020,1592.266134959252,12.371663
Region II,2021,1768.2005121074478,12.4439945
Region II,2022,1944.8425604024385,12.057312
Region III,2013,2032.4207204549311,14.365173
Region III,2014,1967.5234202843344,15.713983
Region III,2015,1892.3175933061289,16.311563
Region III,2016,1769.6051619929483,15.49025
Region III,2017,1593.6747929370172,17.510162
Region III,2018,1409.11867306196,14.416021
Region III,2019,1262.2553473332684,14.871601
Region III,2020,1198.1327099094972,15.508487
Region III,2021,1333.604125377593,15.039597
Region III,2022,1467.362797075413,15.607844
Region IV-A,2013,1918.549116996946,14.206729
Region IV-A,2014,1851.153016392384,14.976756
Region IV-A,2015,1774.5695035732838,16.66124
Region IV-A,2016,1661.487648180974,14.956944
Region IV-A,2017,1510.013578754246,16.279793
Region IV-A,2018,1355.040486690788,14.319014
Region IV-A,2019,1233.507548301404,15.793301
Region IV-A,2020,1181.298664665712,15.102027
Region IV-A,2021,1330.591152200274,14.599607
Region IV-A,2022,1477.625233808582,15.633523
Region IV-B,2013,2213.047022744494,12.61208
Region IV-B,2014,2144.080051980748,12.67983
Region IV-B,2015,2066.485366184802,12.608072
Region IV-B,2016,1944.159103218576,11.149527
Region IV-B,2017,1772.074429292256,11.057149
Region IV-B,2018,1592.211866918302,11.749571
Region IV-B,2019,1448.2841475502742,13.134948
