region,year,lri_incidence_rate_per100k
BARMM,2013,2196.799171363366
BARMM,2014,2157.910819874518
BARMM,2015,2106.484169545264
BARMM,2016,2000.4852504765818
BARMM,2017,1830.642563793662
BARMM,2018,1646.216458678588
BARMM,2019,1496.80279552969
BARMM,2020,1431.013500897814
BARMM,2021,1603.992189191234
BARMM,2022,1773.744564833842
CAR,2013,2377.9876922973217
CAR,2014,2288.9802647986185
CAR,2015,2191.1945674941085
CAR,2016,2041.5890454942366
CAR,2017,1832.9429531700368
CAR,2018,1618.5977099662384
CAR,2019,1450.6060520520166
CAR,2020,1380.4857643920502
CAR,2021,1517.4934966223266
CAR,2022,1657.3731160936684
NCR,2013,2502.5959431587303
NCR,2014,2396.4628946503303
NCR,2015,2285.40251607233
NCR,2016,2138.24990515665
NCR,2017,1949.25230213407
NCR,2018,1759.0951884652502
NCR,2019,1610.94738183219
NCR,2020,1546.74135175208
NCR,2021,1703.4279455914798
NCR,2022,1854.37145404666
Region I,2013,2344.6798547265776
Region I,2014,2267.187290193645
Region I,2015,2175.20245108667
Region I,2016,2030.2397122231475
Region I,2017,1831.5379816550376
Region I,2018,1627.7372212864425
Region I,2019,1468.0366332809526
Region I,2020,1400.36267158682
Region I,2021,1583.2293571950174
Region I,2022,1768.8750632600952
Region II,2013,2512.430343867064
Region II,2014,2438.226472362
Region II,2015,2350.062771585452
Region II,2016,2210.035249999596
Region II,2017,2016.5075329611561
Region II,2018,1817.289510268242
Region II,2019,1660.2349625333322
Region II,2020,1592.266134959252
Region II,2021,1768.2005121074478
Region II,2022,1944.8425604024383
Region III,2013,2032.4207204549314
Region III,2014,1967.5234202843344
Region III,2015,1892.3175933061286
Region III,2016,1769.6051619929483
Region III,2017,1593.6747929370172
Region III,2018,1409.11867306196
Region III,2019,1262.2553473332684
Region III,2020,1198.1327099094972
Region III,2021,1333.604125377593
Region III,2022,1467.362797075413
Region IV-A,2013,1918.549116996946
Region IV-A,2014,1851.1530163923842
Region IV-A,2015,1774.5695035732838
Region IV-A,2016,1661.487648180974
Region IV-A,2017,1510.013578754246
Region IV-A,2018,1355.040486690788
