region,year,lung_cancer_incidence_rate_per100k,pm25
BARMM,2013,2.114232077008,14.709481
BARMM,2014,2.250933666066,14.722514
BARMM,2015,2.474410766966,17.321379
BARMM,2016,2.681022595304,15.022738
BARMM,2017,2.927228386332,13.513163
BARMM,2018,3.172308929802,15.112575
BARMM,2019,3.3704176776300003,13.253559
BARMM,2020,3.623925100236,12.35299
BARMM,2021,4.164029779348001,13.5529
BARMM,2022,3.6179593685840006,15.47805
CAR,2013,8.64736367603,14.525847
CAR,2014,8.766295172656667,14.021828
CAR,2015,9.003036686884998,14.033639
CAR,2016,9.257109178035,13.636843
CAR,2017,9.427738049325,13.430938
CAR,2018,9.842657641338333,14.05359
CAR,2019,10.27106153761,15.306977
CAR,2020,9.68550898004,13.590997
CAR,2021,11.071099676835,13.508479
CAR,2022,11.52003991934,13.923188
NCR,2013,13.5031625833,23.69277
NCR,2014,13.37652439243,25.681744
NCR,2015,13.42464910395,24.73103
NCR,2016,13.24761863829,26.722162
NCR,2017,12.59212482753,22.564716
NCR,2018,12.02399014357,24.520508
NCR,2019,11.22917084089,30.654888
NCR,2020,10.58604392804,30.448298
NCR,2021,11.10253218368,26.783203
NCR,2022,10.29860690646,31.587173
Region I,2013,16.5710959932825,16.000214
Region I,2014,16.4372021991075,16.30951
Region I,2015,16.40798179074,15.451781
Region I,2016,16.26965161699,16.229641
Region I,2017,15.85598646102,16.687716
Region I,2018,15.69649290851,14.314774
Region I,2019,15.81998545942,16.628056
Region I,2020,15.0334554507575,14.634796
Region I,2021,17.6581285402625,14.345316
Region I,2022,17.2590576975225,15.88438
Region II,2013,11.9788606115,11.683477
Region II,2014,12.055009053388,13.2136
Region II,2015,12.249345035098,12.17592
Region II,2016,12.319785313898,12.411015
Region II,2017,12.145271893636,13.363348
Region II,2018,12.158444759744,12.300357
Region II,2019,12.419780156964,12.702661
Region II,2020,11.922767280584,12.371663
Region II,2021,14.205846078336,12.4439945
Region II,2022,13.451282483398,12.057312
Region III,2013,12.638280296481428,14.365173
Region III,2014,12.459389160145715,15.713983
Region III,2015,12.45867864389857,16.311563
Region III,2016,12.444040833244284,15.49025
Region III,2017,12.217448157654283,17.510162
Region III,2018,12.153447774685716,14.416021
Region III,2019,12.23425277708,14.871601
Region III,2020,11.627894352862857,15.508487
