region,year,lung_cancer_incidence_rate_per100k
BARMM,2013,2.114232077008
BARMM,2014,2.250933666066
BARMM,2015,2.474410766966
BARMM,2016,2.681022595304
BARMM,2017,2.9272283863319997
BARMM,2018,3.172308929802
BARMM,2019,3.3704176776300003
BARMM,2020,3.623925100236
BARMM,2021,4.164029779348001
BARMM,2022,3.6179593685840006
CAR,2013,8.64736367603
CAR,2014,8.766295172656667
CAR,2015,9.003036686884998
CAR,2016,9.257109178035
CAR,2017,9.427738049324999
CAR,2018,9.842657641338333
CAR,2019,10.27106153761
CAR,2020,9.68550898004
CAR,2021,11.071099676834999
CAR,2022,11.52003991934
NCR,2013,13.5031625833
NCR,2014,13.37652439243
NCR,2015,13.42464910395
NCR,2016,13.24761863829
NCR,2017,12.59212482753
NCR,2018,12.02399014357
NCR,2019,11.22917084089
NCR,2020,10.58604392804
NCR,2021,11.10253218368
NCR,2022,10.29860690646
Region I,2013,16.5710959932825
Region I,2014,16.4372021991075
Region I,2015,16.40798179074
Region I,2016,16.26965161699
Region I,2017,15.855986461019999
Region I,2018,15.69649290851
Region I,2019,15.81998545942
Region I,2020,15.0334554507575
Region I,2021,17.6581285402625
Region I,2022,17.2590576975225
Region II,2013,11.9788606115
Region II,2014,12.055009053388
Region II,2015,12.249345035097999
Region II,2016,12.319785313897999
Region II,2017,12.145271893636
Region II,2018,12.158444759744
Region II,2019,12.419780156964
Region II,2020,11.922767280584
Region II,2021,14.205846078336
Region II,2022,13.451282483398
Region III,2013,12.638280296481428
Region III,2014,12.459389160145715
Region III,2015,12.45867864389857
Region III,2016,12.444040833244285
Region III,2017,12.217448157654285
Region III,2018,12.153447774685715
Region III,2019,12.23425277708
Region III,2020,11.627894352862857
Region III,2021,14.106131545781428
Region III,2022,13.187771390118572
Region IV-A,2013,10.079178362892
Region IV-A,2014,9.960967521386
Region IV-A,2015,9.992531238524
Region IV-A,2016,10.063828461646
Region IV-A,2017,10.044859691758
Region IV-A,2018,10.126132488782
Region IV-A,2019,10.36079861787
Region IV-A,2020,10.004359236968
Region IV-A,2021,11.549929268844
Region IV-A,2022,10.472490394876
Region IV-B,2013,8.891038340764
Region IV-B,2014,8.881626484154
Region IV-B,2015,8.986490135986
Region IV-B,2016,9.101445848586
Region IV-B,2017,9.11200897676
Region IV-B,2018,9.28728350378
Region IV-B,2019,9.678418236866
Region IV-B,2020,9.24185955934
Region IV-B,2021,10.74831146855
Region IV-B,2022,10.851269955646
Region IX,2013,6.596370454626666
Region IX,2014,6.666085029383333
Region IX,2015,6.860201215026667
Region IX,2016,7.03105249944
Region IX,2017,7.181959475203334
Region IX,2018,7.436584839326667
Region IX,2019,7.783020148586668
Region IX,2020,7.63048053391
Region IX,2021,9.29487588296
Region IX,2022,9.223701916883334
Region V,2013,6.404612620898334
Region V,2014,6.392600280340001
Region V,2015,6.467523917416667
Region V,2016,6.502003304566666
Region V,2017,6.452614764338333
Region V,2018,6.4952077552050005
Region V,2019,6.638029838798334
Region V,2020,6.3562122310783336
Region V,2021,7.44896958088
Region V,2022,7.3593153352066665
Region VI,2013,10.752570352605
Region VI,2014,10.643370425415
Region VI,2015,10.671756250553335
Region VI,2016,10.673252853143333
Region VI,2017,10.605848583591667
Region VI,2018,10.722892222890001
Region VI,2019,10.913614327288334
Region VI,2020,10.138859048143333
Region VI,2021,11.345134794571669
Region VI,2022,11.631924211833335
Region VII,2013,10.299285228345
Region VII,2014,10.2967844595925
Region VII,2015,10.4064379331525
Region VII,2016,10.448097756054999
Region VII,2017,10.3803652491975
Region VII,2018,10.391447140690001
Region VII,2019,10.476264121785
Region VII,2020,9.7651098705975
Region VII,2021,11.08287121188
Region VII,2022,11.1422132198825
Region VIII,2013,6.652257972458334
Region VIII,2014,6.430104507359999
Region VIII,2015,6.60747039163
Region VIII,2016,6.770266617833333
Region VIII,2017,6.918659360521667
Region VIII,2018,7.174225770986666
Region VIII,2019,7.55335993776
Region VIII,2020,7.461728647728333
Region VIII,2021,8.709663372989999
Region VIII,2022,9.023269316698334
Region X,2013,8.583756090247999
Region X,2014,8.598440766484
Region X,2015,8.732196102578
Region X,2016,8.790485364176
Region X,2017,8.652114390028
Region X,2018,8.694535637748
Region X,2019,8.915844379586
Region X,2020,8.55799814169
Region X,2021,10.57221071726
Region X,2022,10.597352004429998
Region XI,2013,7.762825218396
Region XI,2014,7.734454935856
Region XI,2015,7.8527691978859995
Region XI,2016,7.883706727728
Region XI,2017,7.883851449376
Region XI,2018,8.132303844355999
Region XI,2019,8.400195193378
Region XI,2020,8.275263924628
Region XI,2021,9.607159483934
Region XI,2022,9.771814481804
Region XII,2013,7.274616932752499
Region XII,2014,7.3458603928274995
Region XII,2015,7.58035854633
Region XII,2016,7.803394974692499
Region XII,2017,7.906476982560001
Region XII,2018,8.1304505458875
Region XII,2019,8.433675284635001
Region XII,2020,8.258566121585
Region XII,2021,10.1305484141375
Region XII,2022,10.4582641162875
Region XIII,2013,7.323951333638
Region XIII,2014,7.418199092662
Region XIII,2015,7.629080010036001
Region XIII,2016,7.775998923174001
Region XIII,2017,7.866446851419999
Region XIII,2018,8.089769783096
Region XIII,2019,8.405732950522
Region XIII,2020,8.1560489651
Region XIII,2021,9.705031802326001
Region XIII,2022,9.454545975448
