region,year,asthma_rate_per100k,pm25
BARMM,2013,7199.77695167405,14.709481
BARMM,2014,7290.119190607436,14.722514
BARMM,2015,7334.730741529388,17.321379
BARMM,2016,7340.489187228202,15.022738
BARMM,2017,7336.63371231606,13.513163
BARMM,2018,7327.236334430358,15.112575
BARMM,2019,7316.747223593135,13.253559
BARMM,2020,7309.112770383394,12.35299
BARMM,2021,7316.702638080469,13.5529
BARMM,2022,7326.996441872916,15.47805
CAR,2013,7374.162078411835,14.525847
CAR,2014,7476.00312904171,14.021828
CAR,2015,7525.590119449269,14.033639
CAR,2016,7527.304565524409,13.636843
CAR,2017,7515.2589034886,13.430938
CAR,2018,7496.708885277504,14.05359
CAR,2019,7478.687167828317,15.306977
CAR,2020,7468.851874614794,13.590997
CAR,2021,7485.757563342056,13.508479
CAR,2022,7510.177402096063,13.923188
NCR,2013,8775.45435426002,23.69277
NCR,2014,8857.13236865092,25.681744
NCR,2015,8900.66186512467,24.73103
NCR,2016,8908.29136858556,26.722162
NCR,2017,8901.98486571772,22.564716
NCR,2018,8886.098858557349,24.520508
NCR,2019,8867.05674153916,30.654888
NCR,2020,8850.4349054899,30.448298
NCR,2021,8854.7081400714,26.783203
NCR,2022,8859.471047409701,31.587173
Region I,2013,7446.780492742688,16.000214
Region I,2014,7537.216656068027,16.30951
Region I,2015,7581.1925074556575,15.451781
Region I,2016,7583.368156607719,16.229641
Region I,2017,7573.523883253292,16.687716
Region I,2018,7556.803534510677,14.314774
Region I,2019,7539.907575964605,16.628056
Region I,2020,7529.565712000058,14.634796
Region I,2021,7544.205938100417,14.345316
Region I,2022,7563.949675041815,15.88438
Region II,2013,7329.076088598762,11.683477
Region II,2014,7426.932387416773,13.2136
Region II,2015,7474.933005555044,12.17592
Region II,2016,7476.901951087549,12.411015
Region II,2017,7464.2496359112465,13.363348
Region II,2018,7443.362488187593,12.300357
Region II,2019,7421.453041581478,12.702661
Region II,2020,7406.291485302756,12.371663
Region II,2021,7425.170556984815,12.4439945
Region II,2022,7451.778024867155,12.057312
Region III,2013,7415.168192868454,14.365173
Region III,2014,7507.672524681907,15.713983
Region III,2015,7554.542147597968,16.311563
Region III,2016,7558.858621472536,15.49025
Region III,2017,7548.323116608054,17.510162
Region III,2018,7528.733019967037,14.416021
Region III,2019,7508.049705845963,14.871601
Region III,2020,7494.038431351263,15.508487
Region III,2021,7513.646610232495,15.039597
Region III,2022,7539.05162590069,15.607844
Region IV-A,2013,7428.797327313759,14.206729
Region IV-A,2014,7527.828917388157,14.976756
Region IV-A,2015,7581.569331195567,16.66124
Region IV-A,2016,7596.202404643144,14.956944
Region IV-A,2017,7600.304999131899,16.279793
Region IV-A,2018,7596.279742192006,14.319014
Region IV-A,2019,7589.000023585196,15.793301
Region IV-A,2020,7582.925797944867,15.102027
Region IV-A,2021,7595.533832775986,14.599607
Region IV-A,2022,7610.045957617775,15.633523
Region IV-B,2013,7184.824368376217,12.61208
Region IV-B,2014,7290.395571501411,12.67983
Region IV-B,2015,7345.878694121379,12.608072
Region IV-B,2016,7355.946405970952,11.149527
Region IV-B,2017,7352.591016825626,11.057149
Region IV-B,2018,7339.966567043727,11.749571
Region IV-B,2019,7324.1581829377565,13.134948
Region IV-B,2020,7311.664082874997,11.962126
Region IV-B,2021,7321.716500275742,11.920432
Region IV-B,2022,7338.608306099032,12.919474
Region IX,2013,7257.929455596083,14.473359
Region IX,2014,7349.785915539146,15.140581
Region IX,2015,7397.421184864296,14.548189
Region IX,2016,7406.450682230837,12.565103
Region IX,2017,7405.3367822201,12.626498
Region IX,2018,7398.016957453997,14.106626
Region IX,2019,7389.084482610367,12.495613
Region IX,2020,7382.871669563553,10.4591255
Region IX,2021,7401.26139730636,11.959798
Region IX,2022,7421.056110042014,15.467205
Region V,2013,7176.18708773683,12.01901
Region V,2014,7272.587715835655,12.610391
Region V,2015,7320.900040047755,13.487049
Region V,2016,7325.937279847035,10.695949
Region V,2017,7319.193695434388,11.54687
Region V,2018,7305.882968939915,11.65651
Region V,2019,7292.140305146284,13.92081
Region V,2020,7284.42034140236,11.533955
Region V,2021,7309.364724440599,11.306577
Region V,2022,7339.359164773384,12.418019
Region VI,2013,7345.330656187242,14.335128
Region VI,2014,7446.359317840055,15.440964
Region VI,2015,7499.94887380112,16.225225
Region VI,2016,7510.210759264773,13.783962
Region VI,2017,7506.686417619884,14.8868475
Region VI,2018,7493.28147849847,13.158613
Region VI,2019,7476.734564726773,15.619741
Region VI,2020,7464.788483684523,14.535312
Region VI,2021,7483.827154027593,15.035101
Region VI,2022,7512.293768394535,16.564726
Region VII,2013,7266.955780339797,15.590881
Region VII,2014,7364.961084192115,16.355497
Region VII,2015,7414.245741343295,16.114704
Region VII,2016,7421.454803415375,13.905567
Region VII,2017,7417.996537336458,14.461564
Region VII,2018,7407.330833639322,13.666978
Region VII,2019,7394.45795291573,16.144978
Region VII,2020,7384.877262612627,14.465497
Region VII,2021,7405.811636317442,15.092706
Region VII,2022,7431.496085558467,16.831034
Region VIII,2013,7014.454128668315,11.864539
Region VIII,2014,7111.405222792776,14.463006
Region VIII,2015,7162.890589978797,13.110632
Region VIII,2016,7173.154668029521,9.990697
