region,year,placebo_lowbackpain_rate_per100k,pm25
BARMM,2013,765.911949291956,14.709481
BARMM,2014,761.466509953564,14.722514
BARMM,2015,758.603745497878,17.321379
BARMM,2016,756.7302746544,15.022738
BARMM,2017,755.782084928756,13.513163
BARMM,2018,756.168193451582,15.112575
BARMM,2019,758.144300918622,13.253559
BARMM,2020,762.233120999368,12.35299
BARMM,2021,769.7706784411359,13.5529
BARMM,2022,776.8239667293799,15.47805
CAR,2013,787.368085584445,14.525847
CAR,2014,782.6137313295417,14.021828
CAR,2015,779.8133777695599,14.033639
CAR,2016,780.0299318487333,13.636843
CAR,2017,782.1842113873284,13.430938
CAR,2018,785.5696373760849,14.05359
CAR,2019,789.6594792032733,15.306977
CAR,2020,793.2941852630466,13.590997
CAR,2021,795.4317971932265,13.508479
CAR,2022,794.1270185176717,13.923188
NCR,2013,762.41635309478,23.69277
NCR,2014,756.02227528775,25.681744
NCR,2015,749.2815873472599,24.73103
NCR,2016,742.86608309713,26.722162
NCR,2017,738.04446113438,22.564716
NCR,2018,736.04144680465,24.520508
NCR,2019,737.03655374964,30.654888
NCR,2020,741.4178462301,30.448298
NCR,2021,751.24470115297,26.783203
NCR,2022,762.74028785073,31.587173
Region I,2013,766.2829183824974,16.000214
Region I,2014,763.884088822095,16.30951
Region I,2015,763.05560841501,15.451781
Region I,2016,764.1077088536475,16.229641
Region I,2017,766.761507181245,16.687716
Region I,2018,771.1835110461225,14.314774
Region I,2019,776.637618185945,16.628056
Region I,2020,782.021413406315,14.634796
Region I,2021,787.0208212692226,14.345316
Region I,2022,789.456712536705,15.88438
Region II,2013,777.788813096138,11.683477
Region II,2014,772.395686936086,13.2136
Region II,2015,768.9048246606579,12.17592
Region II,2016,768.309117233108,12.411015
Region II,2017,770.301326876792,13.363348
Region II,2018,774.879714675872,12.300357
Region II,2019,781.610284751966,12.702661
Region II,2020,789.4062771607039,12.371663
Region II,2021,797.075216396096,12.4439945
Region II,2022,801.82368848211,12.057312
Region III,2013,772.7550938569242,14.365173
Region III,2014,766.9461076512299,15.713983
Region III,2015,762.1192465809314,16.311563
Region III,2016,758.9627511829073,15.49025
Region III,2017,758.0686128759486,17.510162
Region III,2018,760.12749723422,14.416021
Region III,2019,764.61945270266,14.871601
Region III,2020,770.8701506694571,15.508487
Region III,2021,778.8449569162742,15.039597
Region III,2022,785.5820111335228,15.607844
Region IV-A,2013,764.28256594644,14.206729
Region IV-A,2014,759.791160772558,14.976756
Region IV-A,2015,755.6491601473,16.66124
Region IV-A,2016,752.248372433818,14.956944
Region IV-A,2017,750.522657760908,16.279793
Region IV-A,2018,751.325601122032,14.319014
Region IV-A,2019,754.110805000864,15.793301
Region IV-A,2020,758.3481769623,15.102027
Region IV-A,2021,763.810679535184,14.599607
Region IV-A,2022,768.39802425427,15.633523
Region IV-B,2013,791.183532938952,12.61208
Region IV-B,2014,783.823557360318,12.67983
Region IV-B,2015,777.559078516876,12.608072
Region IV-B,2016,774.219447328696,11.149527
Region IV-B,2017,774.1467957716479,11.057149
Region IV-B,2018,777.737092267818,11.749571
Region IV-B,2019,784.0494127656921,13.134948
Region IV-B,2020,791.545327911206,11.962126
Region IV-B,2021,798.444220000122,11.920432
Region IV-B,2022,802.0884508933461,12.919474
Region IX,2013,777.5285247025499,14.473359
Region IX,2014,770.6723044915534,15.140581
Region IX,2015,765.34541535037,14.548189
Region IX,2016,762.0228317225833,12.565103
Region IX,2017,760.5448882995667,12.626498
Region IX,2018,761.2440134442933,14.106626
Region IX,2019,764.0034995187001,12.495613
Region IX,2020,768.6583988931167,10.4591255
Region IX,2021,776.0175150656634,11.959798
Region IX,2022,782.3608150859933,15.467205
Region V,2013,781.9671270230683,12.01901
Region V,2014,777.4359465664601,12.610391
Region V,2015,773.440121985655,13.487049
Region V,2016,770.5081546871967,10.695949
Region V,2017,768.5675258406067,11.54687
Region V,2018,768.23686562247,11.65651
Region V,2019,769.6020761653534,13.92081
Region V,2020,772.3031186295433,11.533955
Region V,2021,776.1505527816233,11.306577
Region V,2022,778.527444934785,12.418019
Region VI,2013,781.8849553475751,14.335128
Region VI,2014,774.2834129920866,15.440964
Region VI,2015,767.4596603131916,16.225225
Region VI,2016,762.7886556204484,13.783962
Region VI,2017,761.0670014542101,14.8868475
Region VI,2018,763.2173808846716,13.158613
Region VI,2019,768.3608718910067,15.619741
Region VI,2020,774.7999234309233,14.535312
Region VI,2021,781.0834829271366,15.035101
Region VI,2022,784.5724819312933,16.564726
Region VII,2013,780.12577409585,15.590881
Region VII,2014,776.758746724455,16.355497
Region VII,2015,773.4676868053375,16.114704
Region VII,2016,770.185176080545,13.905567
Region VII,2017,767.6282801355525,14.461564
Region VII,2018,767.19063998098,13.666978
Region VII,2019,769.3300415107875,16.144978
Region VII,2020,773.95690223888,14.465497
Region VII,2021,781.59426465882,15.092706
Region VII,2022,788.3346863113975,16.831034
Region VIII,2013,793.174000357725,11.864539
Region VIII,2014,787.5052227304117,14.463006
Region VIII,2015,782.67604802328,13.110632
Region VIII,2016,779.7231238624585,9.990697
Region VIII,2017,778.2744765591033,10.646852
Region VIII,2018,778.3946935714984,12.556843
Region VIII,2019,779.4641149208315,13.518981
Region VIII,2020,780.7224107615499,10.411831
Region VIII,2021,781.421373909935,11.931639
Region VIII,2022,780.0492879916034,12.079433
Region X,2013,770.904496386462,12.808022
Region X,2014,765.358724922794,14.315132
Region X,2015,760.7497616501421,16.793947
Region X,2016,757.51546193443,14.518221
Region X,2017,755.675913213104,13.701519
Region X,2018,755.781532640126,15.898725
Region X,2019,758.016070105602,13.038727
Region X,2020,762.1610833820021,12.569688
Region X,2021,768.7195102292101,13.936402
Region X,2022,774.33210416315,15.65348
Region XI,2013,777.2775073822941,14.48442
Region XI,2014,772.595514643274,16.316341
Region XI,2015,768.73296851815,15.328872
Region XI,2016,766.313385109654,12.835736
Region XI,2017,765.824185887118,12.77151
Region XI,2018,767.862740211178,15.953095
Region XI,2019,772.194491157334,14.2032995
Region XI,2020,778.350220305498,9.759949
Region XI,2021,786.342662256046,14.03994
Region XI,2022,792.891233472146,15.532371
Region XII,2013,779.9160526174126,14.096073
Region XII,2014,773.865635166435,14.854753
Region XII,2015,769.0768221273825,17.477602
Region XII,2016,766.38860863561,14.529189
Region XII,2017,765.6327043269225,14.486629
Region XII,2018,766.89676055427,16.788147
Region XII,2019,769.7944377163525,13.763752
Region XII,2020,773.7189582297325,12.540402
Region XII,2021,778.582889642825,14.517973
Region XII,2022,782.04739317813,15.251545
Region XIII,2013,781.2329738234561,12.482736
Region XIII,2014,775.855007545184,15.11832
Region XIII,2015,771.28800107293,14.6429615
Region XIII,2016,767.920338749048,11.080706
Region XIII,2017,766.134234005082,11.37738
Region XIII,2018,766.440613147342,14.102243
Region XIII,2019,768.9890894749781,14.149572
Region XIII,2020,773.722063931532,9.651189
Region XIII,2021,780.7417786212279,12.631905
Region XIII,2022,786.422068108374,14.492586
