region,year,placebo_lowbackpain_rate_per100k
BARMM,2013,765.911949291956
BARMM,2014,761.466509953564
BARMM,2015,758.603745497878
BARMM,2016,756.7302746544
BARMM,2017,755.782084928756
BARMM,2018,756.168193451582
BARMM,2019,758.144300918622
BARMM,2020,762.233120999368
BARMM,2021,769.7706784411359
BARMM,2022,776.8239667293799
CAR,2013,787.368085584445
CAR,2014,782.6137313295417
CAR,2015,779.8133777695599
CAR,2016,780.0299318487333
CAR,2017,782.1842113873284
CAR,2018,785.5696373760849
CAR,2019,789.6594792032733
CAR,2020,793.2941852630466
CAR,2021,795.4317971932265
CAR,2022,794.1270185176717
NCR,2013,762.41635309478
NCR,2014,756.02227528775
NCR,2015,749.2815873472599
NCR,2016,742.86608309713
NCR,2017,738.04446113438
NCR,2018,736.04144680465
NCR,2019,737.03655374964
NCR,2020,741.4178462301
NCR,2021,751.24470115297
NCR,2022,762.74028785073
Region I,2013,766.2829183824974
Region I,2014,763.884088822095
Region I,2015,763.05560841501
Region I,2016,764.1077088536475
Region I,2017,766.761507181245
Region I,2018,771.1835110461225
Region I,2019,776.637618185945
Region I,2020,782.021413406315
Region I,2021,787.0208212692226
Region I,2022,789.456712536705
Region II,2013,777.788813096138
Region II,2014,772.395686936086
Region II,2015,768.9048246606579
Region II,2016,768.309117233108
Region II,2017,770.301326876792
Region II,2018,774.879714675872
Region II,2019,781.610284751966
Region II,2020,789.4062771607039
Region II,2021,797.075216396096
Region II,2022,801.82368848211
Region III,2013,772.7550938569242
Region III,2014,766.9461076512299
Region III,2015,762.1192465809314
Region III,2016,758.9627511829073
Region III,2017,758.0686128759486
Region III,2018,760.12749723422
Region III,2019,764.61945270266
Region III,2020,770.8701506694571
Region III,2021,778.8449569162742
Region III,2022,785.5820111335228
Region IV-A,2013,764.28256594644
Region IV-A,2014,759.791160772558
Region IV-A,2015,755.6491601473
Region IV-A,2016,752.248372433818
Region IV-A,2017,750.522657760908
Region IV-A,2018,751.325601122032
Region IV-A,2019,754.110805000864
Region IV-A,2020,758.3481769623
Region IV-A,2021,763.810679535184
Region IV-A,2022,768.39802425427
Region IV-B,2013,791.183532938952
Region IV-B,2014,783.823557360318
Region IV-B,2015,777.559078516876
Region IV-B,2016,774.219447328696
Region IV-B,2017,774.1467957716479
Region IV-B,2018,777.737092267818
Region IV-B,2019,784.0494127656921
Region IV-B,2020,791.545327911206
Region IV-B,2021,798.444220000122
Region IV-B,2022,802.0884508933461
Region IX,2013,777.5285247025499
Region IX,2014,770.6723044915534
Region IX,2015,765.34541535037
Region IX,2016,762.0228317225833
Region IX,2017,760.5448882995667
Region IX,2018,761.2440134442933
Region IX,2019,764.0034995187001
Region IX,2020,768.6583988931167
Region IX,2021,776.0175150656634
Region IX,2022,782.3608150859933
Region V,2013,781.9671270230683
Region V,2014,777.4359465664601
Region V,2015,773.440121985655
Region V,2016,770.5081546871967
Region V,2017,768.5675258406067
Region V,2018,768.23686562247
Region V,2019,769.6020761653534
Region V,2020,772.3031186295433
Region V,2021,776.1505527816233
Region V,2022,778.527444934785
Region VI,2013,781.8849553475751
Region VI,2014,774.2834129920866
Region VI,2015,767.4596603131916
Region VI,2016,762.7886556204484
Region VI,2017,761.0670014542101
Region VI,2018,763.2173808846716
Region VI,2019,768.3608718910067
Region VI,2020,774.7999234309233
Region VI,2021,781.0834829271366
Region VI,2022,784.5724819312933
Region VII,2013,780.12577409585
Region VII,2014,776.758746724455
Region VII,2015,773.4676868053375
Region VII,2016,770.185176080545
Region VII,2017,767.6282801355525
Region VII,2018,767.19063998098
Region VII,2019,769.3300415107875
Region VII,2020,773.95690223888
Region VII,2021,781.59426465882
Region VII,2022,788.3346863113975
Region VIII,2013,793.174000357725
Region VIII,2014,787.5052227304117
Region VIII,2015,782.67604802328
Region VIII,2016,779.7231238624585
Region VIII,2017,778.2744765591033
Region VIII,2018,778.3946935714984
Region VIII,2019,779.4641149208315
Region VIII,2020,780.7224107615499
Region VIII,2021,781.421373909935
Region VIII,2022,780.0492879916034
Region X,2013,770.904496386462
Region X,2014,765.358724922794
Region X,2015,760.7497616501421
Region X,2016,757.51546193443
Region X,2017,755.675913213104
Region X,2018,755.781532640126
Region X,2019,758.016070105602
Region X,2020,762.1610833820021
Region X,2021,768.7195102292101
Region X,2022,774.33210416315
Region XI,2013,777.2775073822941
Region XI,2014,772.595514643274
Region XI,2015,768.73296851815
Region XI,2016,766.313385109654
Region XI,2017,765.824185887118
Region XI,2018,767.862740211178
Region XI,2019,772.194491157334
Region XI,2020,778.350220305498
Region XI,2021,786.342662256046
Region XI,2022,792.891233472146
Region XII,2013,779.9160526174126
Region XII,2014,773.865635166435
Region XII,2015,769.0768221273825
Region XII,2016,766.38860863561
Region XII,2017,765.6327043269225
Region XII,2018,766.89676055427
Region XII,2019,769.7944377163525
Region XII,2020,773.7189582297325
Region XII,2021,778.582889642825
Region XII,2022,782.04739317813
Region XIII,2013,781.2329738234561
Region XIII,2014,775.855007545184
Region XIII,2015,771.28800107293
Region XIII,2016,767.920338749048
Region XIII,2017,766.134234005082
Region XIII,2018,766.440613147342
Region XIII,2019,768.9890894749781
Region XIII,2020,773.722063931532
Region XIII,2021,780.7417786212279
Region XIII,2022,786.422068108374
