region,year,respiratory_mortality_rate_per100k,pm25
BARMM,2013,50.95943623227013,14.709481
BARMM,2014,50.878351674701875,14.722514
BARMM,2015,51.82116403077273,17.321379
BARMM,2016,52.738669675011714,15.022738
BARMM,2017,52.00780753768093,13.513163
BARMM,2018,51.85432927293998,15.112575
BARMM,2019,51.60817142599923,13.253559
BARMM,2020,56.66868824373942,12.35299
BARMM,2021,119.7543162076377,13.5529
BARMM,2022,63.739868695144686,15.47805
CAR,2013,73.7337847799124,14.525847
CAR,2014,74.56275304627106,14.021828
CAR,2015,76.03171909237808,14.033639
CAR,2016,76.7372270742898,13.636843
CAR,2017,76.48974188223583,13.430938
CAR,2018,74.39237585615267,14.05359
CAR,2019,71.96427915657789,15.306977
CAR,2020,81.13058227173717,13.590997
CAR,2021,228.0528226624771,13.508479
CAR,2022,104.84605943721073,13.923188
NCR,2013,90.3331795343816,23.69277
NCR,2014,90.89622501111546,25.681744
NCR,2015,92.95516259855238,24.73103
NCR,2016,93.49870811333234,26.722162
NCR,2017,89.20343945634869,22.564716
NCR,2018,79.16294028834963,24.520508
NCR,2019,75.14707857062376,30.654888
NCR,2020,147.2187761761073,30.448298
NCR,2021,293.56988533745897,26.783203
NCR,2022,115.67790880056444,31.587173
Region I,2013,98.59888860237425,16.000214
Region I,2014,98.07808338715245,16.30951
Region I,2015,98.19756831549856,15.451781
Region I,2016,96.84742854680796,16.229641
Region I,2017,94.21639323577024,16.687716
Region I,2018,91.58304175175576,14.314774
Region I,2019,89.06407438293205,16.628056
Region I,2020,100.37999079509218,14.634796
Region I,2021,301.13004110148876,14.345316
Region I,2022,134.82381115556512,15.88438
Region II,2013,96.49516123752088,11.683477
Region II,2014,95.32190711079768,13.2136
Region II,2015,93.51715519853651,12.17592
Region II,2016,92.38564914499052,12.411015
Region II,2017,91.0724556606464,13.363348
Region II,2018,89.01591383656947,12.300357
Region II,2019,85.75171837938633,12.702661
Region II,2020,95.29173715249834,12.371663
Region II,2021,294.0971507486844,12.4439945
Region II,2022,130.35033682030954,12.057312
Region III,2013,65.58044134299597,14.365173
Region III,2014,64.86995626014185,15.713983
Region III,2015,65.1905895365671,16.311563
Region III,2016,64.58251678844282,15.49025
Region III,2017,63.06812207980288,17.510162
Region III,2018,61.61157708551692,14.416021
Region III,2019,59.773745706234465,14.871601
Region III,2020,76.58667362660846,15.508487
