region,year,respiratory_mortality_rate_per100k
BARMM,2013,50.95943623227013
BARMM,2014,50.878351674701875
BARMM,2015,51.82116403077273
BARMM,2016,52.738669675011714
BARMM,2017,52.00780753768093
BARMM,2018,51.85432927293998
BARMM,2019,51.60817142599923
BARMM,2020,56.66868824373942
BARMM,2021,119.7543162076377
BARMM,2022,63.739868695144686
CAR,2013,73.7337847799124
CAR,2014,74.56275304627106
CAR,2015,76.03171909237808
CAR,2016,76.7372270742898
CAR,2017,76.48974188223583
CAR,2018,74.39237585615267
CAR,2019,71.96427915657789
CAR,2020,81.13058227173717
CAR,2021,228.0528226624771
CAR,2022,104.84605943721071
NCR,2013,90.3331795343816
NCR,2014,90.89622501111546
NCR,2015,92.95516259855238
NCR,2016,93.49870811333234
NCR,2017,89.20343945634869
NCR,2018,79.16294028834963
NCR,2019,75.14707857062376
NCR,2020,147.2187761761073
NCR,2021,293.56988533745897
NCR,2022,115.67790880056444
Region I,2013,98.59888860237425
Region I,2014,98.07808338715245
Region I,2015,98.19756831549857
Region I,2016,96.84742854680795
Region I,2017,94.21639323577025
Region I,2018,91.58304175175577
Region I,2019,89.06407438293205
Region I,2020,100.37999079509218
Region I,2021,301.13004110148876
Region I,2022,134.82381115556512
Region II,2013,96.49516123752088
Region II,2014,95.32190711079767
Region II,2015,93.51715519853653
Region II,2016,92.38564914499051
Region II,2017,91.0724556606464
Region II,2018,89.01591383656947
Region II,2019,85.75171837938633
Region II,2020,95.29173715249834
Region II,2021,294.0971507486844
Region II,2022,130.35033682030954
Region III,2013,65.58044134299597
Region III,2014,64.86995626014185
Region III,2015,65.1905895365671
Region III,2016,64.58251678844282
Region III,2017,63.06812207980288
Region III,2018,61.61157708551692
Region III,2019,59.773745706234465
Region III,2020,76.58667362660846
Region III,2021,285.5480684209882
Region III,2022,102.29158463174689
Region IV-A,2013,64.46539937805149
Region IV-A,2014,64.20496496796821
Region IV-A,2015,64.11212785677981
Region IV-A,2016,63.32403534934032
Region IV-A,2017,62.69854650463278
Region IV-A,2018,62.80863055397053
Region IV-A,2019,62.10024556257067
Region IV-A,2020,90.21938578416737
Region IV-A,2021,280.68858799785585
Region IV-A,2022,97.45643829183543
Region IV-B,2013,90.97222341716774
Region IV-B,2014,90.5359180985912
Region IV-B,2015,90.67130265323497
Region IV-B,2016,90.28410724246378
Region IV-B,2017,88.65341771786053
Region IV-B,2018,86.90052853642587
Region IV-B,2019,83.93230748676046
Region IV-B,2020,91.98494207922064
Region IV-B,2021,238.6548098329106
Region IV-B,2022,118.23333443501824
Region IX,2013,72.61096250350326
Region IX,2014,72.73543776717408
Region IX,2015,73.96688025790324
Region IX,2016,74.10872243474783
Region IX,2017,73.36546619268258
Region IX,2018,72.70949292117244
Region IX,2019,71.40154928771302
Region IX,2020,81.76511172317817
Region IX,2021,232.51521676750062
Region IX,2022,107.06585249602239
Region V,2013,110.16124648119177
Region V,2014,107.9310950597137
Region V,2015,106.3898983724955
Region V,2016,104.73017513416221
Region V,2017,102.26610460324854
Region V,2018,98.87244736391915
Region V,2019,95.01571912942858
Region V,2020,98.25395834224582
Region V,2021,229.01874825679906
Region V,2022,123.34486162439227
Region VI,2013,122.51977354199244
Region VI,2014,121.5334795998595
Region VI,2015,120.93630097425262
Region VI,2016,119.78120430626468
Region VI,2017,117.278662985266
Region VI,2018,115.179685415262
Region VI,2019,112.23625301867075
Region VI,2020,116.89117308483615
Region VI,2021,268.2573359004452
Region VI,2022,148.02513588927823
Region VII,2013,95.67182090158684
Region VII,2014,95.00341368839057
Region VII,2015,95.38170661855254
Region VII,2016,93.78550423204435
Region VII,2017,90.52628278172199
Region VII,2018,87.81935557325806
Region VII,2019,85.39819137146266
Region VII,2020,98.29242955034618
Region VII,2021,269.07901141178877
Region VII,2022,126.77862887553741
Region VIII,2013,122.8461836927341
Region VIII,2014,119.77797025048604
Region VIII,2015,120.64753137900188
Region VIII,2016,120.79026956593837
Region VIII,2017,119.68626214682614
Region VIII,2018,118.79012713300125
Region VIII,2019,116.61086416950285
Region VIII,2020,122.66762233554591
Region VIII,2021,267.5634124351943
Region VIII,2022,156.64455936028952
Region X,2013,92.42837663078956
Region X,2014,92.40047250171824
Region X,2015,93.54162343802302
Region X,2016,92.9287003273318
Region X,2017,91.91510656877063
Region X,2018,89.4652460124791
Region X,2019,85.79735890696716
Region X,2020,96.37834989150629
Region X,2021,295.27338174897574
Region X,2022,125.68052644464846
Region XI,2013,92.0556186773963
Region XI,2014,91.18279998985886
Region XI,2015,92.51000165253963
Region XI,2016,93.361623445004
Region XI,2017,92.23245289545231
Region XI,2018,90.14912933902761
Region XI,2019,88.37159358250622
Region XI,2020,98.44556351231513
Region XI,2021,248.7259351392301
Region XI,2022,119.12876964283221
Region XII,2013,74.26641637617044
Region XII,2014,74.61087966344206
Region XII,2015,76.09929342468033
Region XII,2016,76.62726060297241
Region XII,2017,75.5136038518657
Region XII,2018,74.33618235420124
Region XII,2019,73.44608613643213
Region XII,2020,81.63505000932679
Region XII,2021,222.52022175013846
Region XII,2022,108.6309264641927
Region XIII,2013,98.58346922009031
Region XIII,2014,98.77388372089322
Region XIII,2015,100.15003515587722
Region XIII,2016,100.16295990161346
Region XIII,2017,98.63387742055957
Region XIII,2018,96.57541815855157
Region XIII,2019,93.27264135622757
Region XIII,2020,103.46595371570216
Region XIII,2021,266.38158589702186
Region XIII,2022,131.17915423153585
