population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,5,Prevalence,53534,Ifugao,3,Both,23,5-14 years,515,Asthma,3,Rate,2013,7285.525307118531,10727.31331889323,4940.3675585848305
1,All Population,5,Prevalence,53581,Southern Leyte,3,Both,23,5-14 years,515,Asthma,3,Rate,2013,7112.29083485958,10472.54280649624,4727.58970095249
1,All Population,5,Prevalence,53570,Camarines Sur,3,Both,23,5-14 years,515,Asthma,3,Rate,2013,7121.12507234304,10627.3346200087,4749.50300539529
1,All Population,5,Prevalence,16,Philippines,3,Both,23,5-14 years,515,Asthma,3,Rate,2013,7448.05264584346,10958.191558923,5037.0207414609995
1,All Population,5,Prevalence,53594,Camiguin,3,Both,23,5-14 years,515,Asthma,3,Rate,2013,7656.821312235949,10978.941002783251,5192.73320460831
1,All Population,5,Prevalence,53536,Abra,3,Both,23,5-14 years,515,Asthma,3,Rate,2013,7628.941112110129,11099.94598489609,5209.402272951829
1,All Population,5,Prevalence,53549,Zambales,3,Both,23,5-14 years,515,Asthma,3,Rate,2013,7470.73073917517,10979.586354619229,5015.0178149525
1,All Population,5,Prevalence,53583,Northern Samar,3,Both,23,5-14 years,515,Asthma,3,Rate,2013,6954.839828054781,10504.154049201441,4655.718069149751
1,All Population,5,Prevalence,53538,Kalinga,3,Both,23,5-14 years,515,Asthma,3,Rate,2013,7415.151688542081,11185.59415311262,5017.10159953751
1,All Population,5,Prevalence,53609,Tawi-Tawi,3,Both,23,5-14 years,515,Asthma,3,Rate,2013,7542.47325403998,11211.365150485279,5076.79965840751
1,All Population,5,Prevalence,53551,Pampanga,3,Both,23,5-14 years,515,Asthma,3,Rate,2013,7409.549366484661,10714.59770654296,4931.95019929391
1,All Population,5,Prevalence,53596,Davao de Oro,3,Both,23,5-14 years,515,Asthma,3,Rate,2013,7303.14713542817,10806.36619734562,4952.81384616557
1,All Population,5,Prevalence,53573,Antique,3,Both,23,5-14 years,515,Asthma,3,Rate,2013,7248.339718741339,10911.76073999117,4845.47105105812
1,All Population,5,Prevalence,53585,Leyte,3,Both,23,5-14 years,515,Asthma,3,Rate,2013,7050.327917353549,10629.938641911129,4726.82109841856
1,All Population,5,Prevalence,53562,Romblon,3,Both,23,5-14 years,515,Asthma,3,Rate,2013,7157.63428469018,10472.75743701928,4770.75366168701
1,All Population,5,Prevalence,53598,Davao Occidental,3,Both,23,5-14 years,515,Asthma,3,Rate,2013,7065.211531470959,10631.09401950435,4711.68570695519
1,All Population,5,Prevalence,53611,Sulu,3,Both,23,5-14 years,515,Asthma,3,Rate,2013,6755.238328927269,10134.24539446987,4464.78252240276
1,All Population,5,Prevalence,53553,Nueva Ecija,3,Both,23,5-14 years,515,Asthma,3,Rate,2013,7377.90726039035,11226.52721862541,4956.1227025253
1,All Population,5,Prevalence,53553,Nueva Ecija,3,Both,23,5-14 years,515,Asthma,3,Rate,2014,7467.38026104148,11284.43480415591,5063.06984821758
1,All Population,5,Prevalence,53575,Iloilo,3,Both,23,5-14 years,515,Asthma,3,Rate,2013,7417.51998638997,10839.82552587879,4961.28627667787
1,All Population,5,Prevalence,53564,Marinduque,3,Both,23,5-14 years,515,Asthma,3,Rate,2013,7305.19942315261,10834.90836937641,4875.46690199711
1,All Population,5,Prevalence,53603,Sarangani,3,Both,23,5-14 years,515,Asthma,3,Rate,2014,7416.61715151803,11099.968098404379,4891.30571092535
1,All Population,5,Prevalence,53556,Cavite,3,Both,23,5-14 years,515,Asthma,3,Rate,2014,7621.025023187871,11350.39867756261,5181.27499166845
1,All Population,5,Prevalence,53545,Isabela,3,Both,23,5-14 years,515,Asthma,3,Rate,2014,7439.861525668801,11002.01347536543,5083.3201806589905
1,All Population,5,Prevalence,53541,Ilocos Sur,3,Both,23,5-14 years,515,Asthma,3,Rate,2013,7502.10985405301,11283.98467771591,5084.71326888247
1,All Population,5,Prevalence,53564,Marinduque,3,Both,23,5-14 years,515,Asthma,3,Rate,2014,7412.24034567507,10985.84577142438,4955.35482335041
1,All Population,5,Prevalence,53592,Lanao Del Norte,3,Both,23,5-14 years,515,Asthma,3,Rate,2014,7470.7139417098,10890.77456224233,5170.40693181357
1,All Population,5,Prevalence,53586,Biliran,3,Both,23,5-14 years,515,Asthma,3,Rate,2013,7420.00983010382,10875.66246791136,5072.71669502564
1,All Population,5,Prevalence,53600,South Cotabato,3,Both,23,5-14 years,515,Asthma,3,Rate,2013,7189.314015883299,10829.58859084583,4723.60863670561
1,All Population,5,Prevalence,53611,Sulu,3,Both,23,5-14 years,515,Asthma,3,Rate,2014,6848.798541332,10462.99151911098,4514.5989290322
1,All Population,5,Prevalence,53613,Lanao Del Sur,3,Both,23,5-14 years,515,Asthma,3,Rate,2013,7071.09460067591,10323.39580309468,4609.67544551157
1,All Population,5,Prevalence,53547,Batanes,3,Both,23,5-14 years,515,Asthma,3,Rate,2014,7536.8736847333,10826.995612820781,5061.0987612749295
1,All Population,5,Prevalence,53534,Ifugao,3,Both,23,5-14 years,515,Asthma,3,Rate,2014,7382.65917328518,10905.10035832772,5014.10618400255
1,All Population,5,Prevalence,53605,Agusan Del Sur,3,Both,23,5-14 years,515,Asthma,3,Rate,2014,7104.747965795121,10613.91442545318,4617.08233072066
1,All Population,5,Prevalence,53558,Batangas,3,Both,23,5-14 years,515,Asthma,3,Rate,2014,7644.371295705931,11256.89163952271,5150.39810007902
1,All Population,5,Prevalence,53565,Catanduanes,3,Both,23,5-14 years,515,Asthma,3,Rate,2013,7011.88996835137,10364.15958961255,4668.50309218246
1,All Population,5,Prevalence,53566,Camarines Norte,3,Both,23,5-14 years,515,Asthma,3,Rate,2013,7241.28463664798,10699.86772412089,4848.32238612396
1,All Population,5,Prevalence,53577,Negros Oriental,3,Both,23,5-14 years,515,Asthma,3,Rate,2013,7162.672135865069,10446.92286043877,4783.50613283456
1,All Population,5,Prevalence,53554,Aurora,3,Both,23,5-14 years,515,Asthma,3,Rate,2013,7203.012255022841,10679.41036228234,4865.23124426987
1,All Population,5,Prevalence,53543,Nueva Vizcaya,3,Both,23,5-14 years,515,Asthma,3,Rate,2013,7449.93696509226,10839.78296372231,5044.46886645068
1,All Population,5,Prevalence,53542,Pangasinan,3,Both,23,5-14 years,515,Asthma,3,Rate,2013,7422.5041163181295,11064.71319736069,5095.7809920646305
1,All Population,5,Prevalence,53612,Maguindanao,3,Both,23,5-14 years,515,Asthma,3,Rate,2013,7136.17985267639,10443.028529909181,4709.8180421589
1,All Population,5,Prevalence,53600,South Cotabato,3,Both,23,5-14 years,515,Asthma,3,Rate,2014,7285.21878304547,11065.70659428649,4745.074526116639
1,All Population,5,Prevalence,53549,Zambales,3,Both,23,5-14 years,515,Asthma,3,Rate,2014,7561.10359588366,10900.12457580569,5047.196987962589
1,All Population,5,Prevalence,53601,Sultan Kudarat,3,Both,23,5-14 years,515,Asthma,3,Rate,2013,7388.309697065471,10856.65844852203,4972.236630687709
1,All Population,5,Prevalence,53566,Camarines Norte,3,Both,23,5-14 years,515,Asthma,3,Rate,2014,7331.1515663480695,10754.19972491266,4852.41945938067
1,All Population,5,Prevalence,53579,Bohol,3,Both,23,5-14 years,515,Asthma,3,Rate,2013,7341.09097018624,10857.03885260874,4963.9240923180105
1,All Population,5,Prevalence,53579,Bohol,3,Both,23,5-14 years,515,Asthma,3,Rate,2014,7436.63943651528,11041.62908130827,5036.43042793415
1,All Population,5,Prevalence,53536,Abra,3,Both,23,5-14 years,515,Asthma,3,Rate,2014,7720.23746577615,11270.81374410051,5289.67039575549
1,All Population,5,Prevalence,53534,Ifugao,3,Both,23,5-14 years,515,Asthma,3,Rate,2015,7427.41681207629,11036.79455278202,5050.97457447825
1,All Population,5,Prevalence,53571,Capiz,3,Both,23,5-14 years,515,Asthma,3,Rate,2014,7250.46781584264,10736.66126859245,4928.2867096684895
1,All Population,5,Prevalence,53567,Sorsogon,3,Both,23,5-14 years,515,Asthma,3,Rate,2013,7373.5728165486,10680.46829170531,5060.75993410159
1,All Population,5,Prevalence,53578,Cebu,3,Both,23,5-14 years,515,Asthma,3,Rate,2013,7292.27391817277,10886.66245358865,4930.5724548943
1,All Population,5,Prevalence,53614,National Capital Region,3,Both,23,5-14 years,515,Asthma,3,Rate,2013,8775.45435426002,13145.8528599185,5857.27573172512
1,All Population,5,Prevalence,53545,Isabela,3,Both,23,5-14 years,515,Asthma,3,Rate,2013,7347.420358619609,10871.87561275539,4970.53065346386
1,All Population,5,Prevalence,53607,Surigao Del Norte,3,Both,23,5-14 years,515,Asthma,3,Rate,2014,7259.83189414425,10888.35799595148,4794.52055122377
1,All Population,5,Prevalence,53589,Zamboanga Del Sur,3,Both,23,5-14 years,515,Asthma,3,Rate,2013,7299.779448535421,10744.53499566618,4932.16551122126
1,All Population,5,Prevalence,53588,Zamboanga Del Norte,3,Both,23,5-14 years,515,Asthma,3,Rate,2013,7203.5216275211105,10658.94942421664,4811.15914122305
1,All Population,5,Prevalence,53555,Rizal,3,Both,23,5-14 years,515,Asthma,3,Rate,2013,7337.360546517651,10851.7580239331,4902.94939136422
1,All Population,5,Prevalence,53533,Mountain Province,3,Both,23,5-14 years,515,Asthma,3,Rate,2013,7349.28869061077,10770.89559826557,4999.35151611127
1,All Population,5,Prevalence,53581,Southern Leyte,3,Both,23,5-14 years,515,Asthma,3,Rate,2015,7292.82503008873,10865.20730514868,4869.40008565949
1,All Population,5,Prevalence,53568,Albay,3,Both,23,5-14 years,515,Asthma,3,Rate,2014,7344.9599044220895,11065.04043788977,4925.56561722603
1,All Population,5,Prevalence,53582,Eastern Samar,3,Both,23,5-14 years,515,Asthma,3,Rate,2014,6968.3634481666,10688.71964569903,4662.29141978982
1,All Population,5,Prevalence,53536,Abra,3,Both,23,5-14 years,515,Asthma,3,Rate,2015,7762.8478480203,11410.490740251911,5320.9998120974005
1,All Population,5,Prevalence,53535,Benguet,3,Both,23,5-14 years,515,Asthma,3,Rate,2014,7780.01424158566,11494.36760532329,5242.01478983352
1,All Population,5,Prevalence,53560,Occidental Mindoro,3,Both,23,5-14 years,515,Asthma,3,Rate,2014,7306.19459874857,10873.8117343075,4821.17950133033
1,All Population,5,Prevalence,53568,Albay,3,Both,23,5-14 years,515,Asthma,3,Rate,2013,7258.44243604183,10933.44628294527,4893.12876258212
1,All Population,5,Prevalence,53613,Lanao Del Sur,3,Both,23,5-14 years,515,Asthma,3,Rate,2014,7166.170807804991,10443.01454250654,4667.7233918477095
1,All Population,5,Prevalence,53570,Camarines Sur,3,Both,23,5-14 years,515,Asthma,3,Rate,2015,7250.45115342126,10939.71302467098,4883.111315451661
1,All Population,5,Prevalence,16,Philippines,3,Both,23,5-14 years,515,Asthma,3,Rate,2014,7539.99380482363,11094.414062594491,5101.85849505209
1,All Population,5,Prevalence,53544,Cagayan,3,Both,23,5-14 years,515,Asthma,3,Rate,2013,7358.018101088611,10891.46535514348,4975.34523103325
1,All Population,5,Prevalence,16,Philippines,3,Both,23,5-14 years,515,Asthma,3,Rate,2015,7586.91809861884,11165.2734832177,5135.72728041355
1,All Population,5,Prevalence,53602,Cotabato (North Cotabato),3,Both,23,5-14 years,515,Asthma,3,Rate,2013,7244.401272393509,10657.10782023422,4841.25915724903
1,All Population,5,Prevalence,53595,Davao Oriental,3,Both,23,5-14 years,515,Asthma,3,Rate,2014,7150.44395119912,10564.45093048128,4837.68573876817
1,All Population,5,Prevalence,53603,Sarangani,3,Both,23,5-14 years,515,Asthma,3,Rate,2013,7315.64127180204,10914.20595913645,4857.31535572949
1,All Population,5,Prevalence,53535,Benguet,3,Both,23,5-14 years,515,Asthma,3,Rate,2013,7681.484076741151,11316.015787470731,5199.53246757543
1,All Population,5,Prevalence,53569,Masbate,3,Both,23,5-14 years,515,Asthma,3,Rate,2013,7050.807596488159,10375.18275599991,4737.732110969349
1,All Population,5,Prevalence,53573,Antique,3,Both,23,5-14 years,515,Asthma,3,Rate,2014,7346.469120007259,11034.96100181319,4876.36099954885
1,All Population,5,Prevalence,53586,Biliran,3,Both,23,5-14 years,515,Asthma,3,Rate,2014,7519.267928830869,11058.84993595919,5096.66513505325
1,All Population,5,Prevalence,53551,Pampanga,3,Both,23,5-14 years,515,Asthma,3,Rate,2014,7508.87027662212,10833.60991808255,5003.13784018122
1,All Population,5,Prevalence,53556,Cavite,3,Both,23,5-14 years,515,Asthma,3,Rate,2013,7524.144366801409,11134.26646561744,5139.3466109540595
1,All Population,5,Prevalence,53549,Zambales,3,Both,23,5-14 years,515,Asthma,3,Rate,2015,7602.97622830399,10770.83867270738,5062.67936598584
1,All Population,5,Prevalence,53548,Bataan,3,Both,23,5-14 years,515,Asthma,3,Rate,2014,7594.464763744741,11001.35033493988,5058.1360436755
1,All Population,5,Prevalence,53590,Misamis Occidental,3,Both,23,5-14 years,515,Asthma,3,Rate,2013,7146.54102867502,10612.20196645959,4754.79412705832
1,All Population,5,Prevalence,53580,Siquijor,3,Both,23,5-14 years,515,Asthma,3,Rate,2013,7271.78609713511,10573.603283587541,4911.8157188398
1,All Population,5,Prevalence,53547,Batanes,3,Both,23,5-14 years,515,Asthma,3,Rate,2013,7435.80315426236,10744.49319126182,4953.82970533287
1,All Population,5,Prevalence,53594,Camiguin,3,Both,23,5-14 years,515,Asthma,3,Rate,2015,7818.08097976128,11421.05373530678,5342.73757589701
1,All Population,5,Prevalence,53581,Southern Leyte,3,Both,23,5-14 years,515,Asthma,3,Rate,2014,7223.2384488037305,10703.51748478511,4808.7525678703305
1,All Population,5,Prevalence,53591,Bukidnon,3,Both,23,5-14 years,515,Asthma,3,Rate,2013,7011.0109584702905,10597.841727781939,4617.26153638392
1,All Population,5,Prevalence,53557,Laguna,3,Both,23,5-14 years,515,Asthma,3,Rate,2013,7475.41479876392,10638.67733756962,4981.74751108778
1,All Population,5,Prevalence,53594,Camiguin,3,Both,23,5-14 years,515,Asthma,3,Rate,2014,7764.298393477,11245.405989093719,5287.8255462448005
1,All Population,5,Prevalence,53541,Ilocos Sur,3,Both,23,5-14 years,515,Asthma,3,Rate,2014,7602.670060465939,11338.97664077022,5184.93974950473
1,All Population,5,Prevalence,53538,Kalinga,3,Both,23,5-14 years,515,Asthma,3,Rate,2015,7580.7608626936,11291.41897987288,4972.325765804169
1,All Population,5,Prevalence,53537,Apayao,3,Both,23,5-14 years,515,Asthma,3,Rate,2014,6989.85582655518,10552.33522681018,4678.36842632705
1,All Population,5,Prevalence,53550,Tarlac,3,Both,23,5-14 years,515,Asthma,3,Rate,2014,7582.23422414743,11116.94599596995,5116.93875824333
1,All Population,5,Prevalence,53538,Kalinga,3,Both,23,5-14 years,515,Asthma,3,Rate,2014,7525.38916945172,11278.33785417625,5005.9919724601405
1,All Population,5,Prevalence,53546,Quirino,3,Both,23,5-14 years,515,Asthma,3,Rate,2013,7054.20186393097,10739.440907992679,4822.1322606273
1,All Population,5,Prevalence,53562,Romblon,3,Both,23,5-14 years,515,Asthma,3,Rate,2014,7271.418494551669,10625.53232769723,4840.67686019621
1,All Population,5,Prevalence,53604,Agusan Del Norte,3,Both,23,5-14 years,515,Asthma,3,Rate,2013,7109.48273519191,10629.38428587117,4698.03750299121
1,All Population,5,Prevalence,53596,Davao de Oro,3,Both,23,5-14 years,515,Asthma,3,Rate,2015,7444.767250461779,10909.16487937699,5101.34137274433
1,All Population,5,Prevalence,53552,Bulacan,3,Both,23,5-14 years,515,Asthma,3,Rate,2015,7604.44830958419,11120.94812296033,5183.27875221233
1,All Population,5,Prevalence,53537,Apayao,3,Both,23,5-14 years,515,Asthma,3,Rate,2013,6884.581595348351,10361.38713720165,4630.29633342628
1,All Population,5,Prevalence,53584,Samar (Western Samar),3,Both,23,5-14 years,515,Asthma,3,Rate,2014,6760.450329433999,9962.53311498722,4416.19948654227
1,All Population,5,Prevalence,53570,Camarines Sur,3,Both,23,5-14 years,515,Asthma,3,Rate,2014,7207.9304020583295,10800.467761970931,4839.2172794783
1,All Population,5,Prevalence,53592,Lanao Del Norte,3,Both,23,5-14 years,515,Asthma,3,Rate,2013,7397.238575462051,10825.234844008939,5112.92226440533
1,All Population,5,Prevalence,53588,Zamboanga Del Norte,3,Both,23,5-14 years,515,Asthma,3,Rate,2014,7298.945810547911,10809.91595248946,4866.99609052873
1,All Population,5,Prevalence,53605,Agusan Del Sur,3,Both,23,5-14 years,515,Asthma,3,Rate,2013,7009.307231161601,10375.87707764792,4591.25436328926
1,All Population,5,Prevalence,53583,Northern Samar,3,Both,23,5-14 years,515,Asthma,3,Rate,2015,7088.18399783034,10647.01459850773,4678.1839926876
1,All Population,5,Prevalence,53558,Batangas,3,Both,23,5-14 years,515,Asthma,3,Rate,2013,7543.3662423113,11150.509504754311,5086.2450632953605
1,All Population,5,Prevalence,53543,Nueva Vizcaya,3,Both,23,5-14 years,515,Asthma,3,Rate,2014,7548.506124641829,10939.52273335965,5129.356787731141
1,All Population,5,Prevalence,53548,Bataan,3,Both,23,5-14 years,515,Asthma,3,Rate,2013,7502.290668004211,10813.13714905956,5011.84974992661
1,All Population,5,Prevalence,53582,Eastern Samar,3,Both,23,5-14 years,515,Asthma,3,Rate,2013,6875.13687120756,10479.995352303991,4613.9904260230405
1,All Population,5,Prevalence,53551,Pampanga,3,Both,23,5-14 years,515,Asthma,3,Rate,2015,7560.498497863111,10930.89223662528,5043.0170704783495
1,All Population,5,Prevalence,53593,Misamis Oriental,3,Both,23,5-14 years,515,Asthma,3,Rate,2013,7177.54144712671,10413.6276024291,4737.9995876049
1,All Population,5,Prevalence,53573,Antique,3,Both,23,5-14 years,515,Asthma,3,Rate,2015,7400.4577981191005,11092.773282492679,4896.51956174494
1,All Population,5,Prevalence,53565,Catanduanes,3,Both,23,5-14 years,515,Asthma,3,Rate,2015,7156.94809499161,10714.6902838694,4632.73675775642
1,All Population,5,Prevalence,53559,Quezon,3,Both,23,5-14 years,515,Asthma,3,Rate,2014,7369.80341466926,10657.820938293291,4979.69164120175
1,All Population,5,Prevalence,53572,Aklan,3,Both,23,5-14 years,515,Asthma,3,Rate,2013,7482.02263654414,10890.10496392152,5076.59925216757
1,All Population,5,Prevalence,53575,Iloilo,3,Both,23,5-14 years,515,Asthma,3,Rate,2014,7506.27038000975,10992.69323722678,5035.49688224653
1,All Population,5,Prevalence,53562,Romblon,3,Both,23,5-14 years,515,Asthma,3,Rate,2015,7331.717664921331,10729.2381220306,4873.36759645767
1,All Population,5,Prevalence,53571,Capiz,3,Both,23,5-14 years,515,Asthma,3,Rate,2013,7136.55469880997,10603.9923138408,4850.24083470152
1,All Population,5,Prevalence,53599,Davao Del Norte,3,Both,23,5-14 years,515,Asthma,3,Rate,2015,7429.33022834449,10785.94372528072,4951.44796348672
1,All Population,5,Prevalence,53539,La Union,3,Both,23,5-14 years,515,Asthma,3,Rate,2014,7499.11264537588,11094.64546151134,5045.48969169722
1,All Population,5,Prevalence,53552,Bulacan,3,Both,23,5-14 years,515,Asthma,3,Rate,2014,7553.730171236881,11135.15814405657,5155.66340226454
1,All Population,5,Prevalence,53597,Davao Del Sur,3,Both,23,5-14 years,515,Asthma,3,Rate,2014,7365.944166019251,10671.58390293746,4953.5128016935
1,All Population,5,Prevalence,53563,Palawan,3,Both,23,5-14 years,515,Asthma,3,Rate,2014,7321.75830992019,11081.718556180891,4925.38298490173
1,All Population,5,Prevalence,53596,Davao de Oro,3,Both,23,5-14 years,515,Asthma,3,Rate,2014,7394.77860709277,10925.36261754597,5065.952646869349
1,All Population,5,Prevalence,53553,Nueva Ecija,3,Both,23,5-14 years,515,Asthma,3,Rate,2015,7513.36194881746,11409.35224298932,5124.71425598849
1,All Population,5,Prevalence,53610,Basilan,3,Both,23,5-14 years,515,Asthma,3,Rate,2014,7569.072242024261,11102.648307599191,5118.06005583493
1,All Population,5,Prevalence,53539,La Union,3,Both,23,5-14 years,515,Asthma,3,Rate,2013,7409.006262098041,10859.4252315092,4952.71289291933
1,All Population,5,Prevalence,53585,Leyte,3,Both,23,5-14 years,515,Asthma,3,Rate,2015,7203.11165692958,10791.25302313734,4812.92910415853
1,All Population,5,Prevalence,53559,Quezon,3,Both,23,5-14 years,515,Asthma,3,Rate,2013,7263.700682174511,10569.73699440125,4872.359916069599
1,All Population,5,Prevalence,53606,Surigao Del Sur,3,Both,23,5-14 years,515,Asthma,3,Rate,2013,7007.07617894884,10412.336364955,4664.04286080372
1,All Population,5,Prevalence,53583,Northern Samar,3,Both,23,5-14 years,515,Asthma,3,Rate,2014,7043.92596868014,10585.74507209908,4695.83391893564
1,All Population,5,Prevalence,53606,Surigao Del Sur,3,Both,23,5-14 years,515,Asthma,3,Rate,2014,7104.817100645299,10627.97449228073,4695.90501432782
1,All Population,5,Prevalence,53595,Davao Oriental,3,Both,23,5-14 years,515,Asthma,3,Rate,2013,7063.77927622579,10415.791431197551,4818.79656927392
1,All Population,5,Prevalence,53550,Tarlac,3,Both,23,5-14 years,515,Asthma,3,Rate,2013,7486.28410639409,10979.292741818519,5043.89562245943
1,All Population,5,Prevalence,53598,Davao Occidental,3,Both,23,5-14 years,515,Asthma,3,Rate,2015,7206.65411182592,10880.59922510157,4721.95587786801
1,All Population,5,Prevalence,53572,Aklan,3,Both,23,5-14 years,515,Asthma,3,Rate,2014,7588.885040811901,11071.71339301302,5131.62943030546
1,All Population,5,Prevalence,53584,Samar (Western Samar),3,Both,23,5-14 years,515,Asthma,3,Rate,2013,6674.119490430599,9896.36165136732,4335.30016500236
1,All Population,5,Prevalence,53533,Mountain Province,3,Both,23,5-14 years,515,Asthma,3,Rate,2014,7457.862897596371,10941.35128831073,5051.01367261618
1,All Population,5,Prevalence,53607,Surigao Del Norte,3,Both,23,5-14 years,515,Asthma,3,Rate,2013,7157.34193741502,10772.57371565233,4756.437413811001
1,All Population,5,Prevalence,53590,Misamis Occidental,3,Both,23,5-14 years,515,Asthma,3,Rate,2014,7249.859999489159,10684.598184897159,4856.22811488422
1,All Population,5,Prevalence,53586,Biliran,3,Both,23,5-14 years,515,Asthma,3,Rate,2015,7574.08854079433,11166.804596576441,5067.27444721891
1,All Population,5,Prevalence,53578,Cebu,3,Both,23,5-14 years,515,Asthma,3,Rate,2015,7425.607107622,11243.76386644813,4977.8566829887
1,All Population,5,Prevalence,53601,Sultan Kudarat,3,Both,23,5-14 years,515,Asthma,3,Rate,2014,7486.284450558491,11042.30624008751,5022.61621917076
1,All Population,5,Prevalence,53560,Occidental Mindoro,3,Both,23,5-14 years,515,Asthma,3,Rate,2013,7193.965187213371,10630.0099318393,4810.48272547362
1,All Population,5,Prevalence,53575,Iloilo,3,Both,23,5-14 years,515,Asthma,3,Rate,2015,7554.419307121831,11084.693878642329,5088.20636878362
1,All Population,5,Prevalence,53554,Aurora,3,Both,23,5-14 years,515,Asthma,3,Rate,2015,7328.6147785495805,10797.39870744696,4953.05115480609
1,All Population,5,Prevalence,53577,Negros Oriental,3,Both,23,5-14 years,515,Asthma,3,Rate,2014,7269.15801070908,10624.28368306839,4837.25414409137
1,All Population,5,Prevalence,53609,Tawi-Tawi,3,Both,23,5-14 years,515,Asthma,3,Rate,2015,7674.78778540163,11328.29303296049,5177.65135150859
1,All Population,5,Prevalence,53599,Davao Del Norte,3,Both,23,5-14 years,515,Asthma,3,Rate,2014,7384.552885316751,10727.07490079423,4893.46524030432
1,All Population,5,Prevalence,53567,Sorsogon,3,Both,23,5-14 years,515,Asthma,3,Rate,2015,7550.26316173594,10865.35986033316,5226.75990504221
1,All Population,5,Prevalence,53543,Nueva Vizcaya,3,Both,23,5-14 years,515,Asthma,3,Rate,2016,7601.21867835156,11012.783886820569,5191.32764722301
1,All Population,5,Prevalence,53600,South Cotabato,3,Both,23,5-14 years,515,Asthma,3,Rate,2015,7333.61880271386,11234.86869746137,4768.78332164721
