population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,5,Prevalence,53576,Guimaras,3,Both,23,5-14 years,630,Low back pain,3,Rate,2013,785.54441898242,1091.94475896078,557.1243498556299
1,All Population,5,Prevalence,53565,Catanduanes,3,Both,23,5-14 years,626,Musculoskeletal disorders,3,Rate,2013,1048.31323786785,1405.19877085158,764.95703454148
1,All Population,5,Prevalence,53565,Catanduanes,3,Both,23,5-14 years,630,Low back pain,3,Rate,2013,787.0407437375601,1081.65421336692,562.97878723843
1,All Population,5,Prevalence,53553,Nueva Ecija,3,Both,23,5-14 years,626,Musculoskeletal disorders,3,Rate,2013,1037.4508965022,1368.13643799758,772.90866274512
1,All Population,5,Prevalence,53553,Nueva Ecija,3,Both,23,5-14 years,630,Low back pain,3,Rate,2013,768.5444124921199,1104.75988316591,537.0076008828801
1,All Population,5,Prevalence,53581,Southern Leyte,3,Both,23,5-14 years,626,Musculoskeletal disorders,3,Rate,2013,1038.0082036701099,1345.45885720739,766.44072496174
1,All Population,5,Prevalence,53600,South Cotabato,3,Both,23,5-14 years,626,Musculoskeletal disorders,3,Rate,2013,1039.55063693295,1379.3676600348101,784.4548158728801
1,All Population,5,Prevalence,53600,South Cotabato,3,Both,23,5-14 years,630,Low back pain,3,Rate,2013,770.00664985219,1075.96284324826,545.46357561602
1,All Population,5,Prevalence,53581,Southern Leyte,3,Both,23,5-14 years,630,Low back pain,3,Rate,2013,786.0037416506999,1101.86386135296,563.0509405435299
1,All Population,5,Prevalence,53589,Zamboanga Del Sur,3,Both,23,5-14 years,626,Musculoskeletal disorders,3,Rate,2013,1042.6673270978401,1377.61375115548,778.03082048487
1,All Population,5,Prevalence,53589,Zamboanga Del Sur,3,Both,23,5-14 years,630,Low back pain,3,Rate,2013,777.2452590929499,1112.3336151887902,563.7464746579201
1,All Population,5,Prevalence,53551,Pampanga,3,Both,23,5-14 years,626,Musculoskeletal disorders,3,Rate,2014,1047.10834882196,1389.5893479501299,764.70795885391
1,All Population,5,Prevalence,53551,Pampanga,3,Both,23,5-14 years,630,Low back pain,3,Rate,2014,767.97612934794,1094.49851218138,547.00668312972
1,All Population,5,Prevalence,53548,Bataan,3,Both,23,5-14 years,626,Musculoskeletal disorders,3,Rate,2014,1038.71223946495,1341.40868346884,764.28981695368
1,All Population,5,Prevalence,53548,Bataan,3,Both,23,5-14 years,630,Low back pain,3,Rate,2014,768.95351219769,1076.20911862275,534.47802076526
1,All Population,5,Prevalence,53578,Cebu,3,Both,23,5-14 years,626,Musculoskeletal disorders,3,Rate,2013,1023.3315229505499,1344.7022790096398,757.51650687623
1,All Population,5,Prevalence,53578,Cebu,3,Both,23,5-14 years,630,Low back pain,3,Rate,2013,753.48375002291,1070.14244347763,538.13524786243
