population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,5,Prevalence,53581,Southern Leyte,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2013,1863.38246461124,2076.21687465167,1647.28598794687
1,All Population,5,Prevalence,53534,Ifugao,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2013,1110.58473751872,1252.30528880156,961.89304722092
1,All Population,5,Prevalence,53583,Northern Samar,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2013,1309.72342773647,1467.9905465305299,1136.67986531889
1,All Population,5,Prevalence,53536,Abra,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2013,1737.5668365230201,1920.61475483037,1524.9709612948
1,All Population,5,Prevalence,53600,South Cotabato,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2013,1209.17357314405,1341.52092783781,1064.65112015872
1,All Population,5,Prevalence,53553,Nueva Ecija,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2013,2163.7124977809603,2307.0764943014196,1992.76777654387
1,All Population,5,Prevalence,53589,Zamboanga Del Sur,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2013,1178.14470463919,1310.93071963219,1036.9205385979901
1,All Population,5,Prevalence,53586,Biliran,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2013,1649.09955518216,1815.99609192468,1440.23840496359
1,All Population,5,Prevalence,53542,Pangasinan,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2013,1511.70716665714,1682.9470178924398,1325.47504267106
1,All Population,5,Prevalence,53602,Cotabato (North Cotabato),3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2013,1364.45190740065,1502.13010265594,1202.62520008995
1,All Population,5,Prevalence,53547,Batanes,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2013,2050.30519479315,2282.52526870057,1801.07954605296
1,All Population,5,Prevalence,53555,Rizal,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2013,1081.56839067443,1230.68055288535,937.0026950421001
1,All Population,5,Prevalence,53588,Zamboanga Del Norte,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2013,1472.61724112948,1635.81963388971,1280.7094182773799
1,All Population,5,Prevalence,53591,Bukidnon,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2013,1171.80807120292,1308.2816361004,1017.72882309752
1,All Population,5,Prevalence,53562,Romblon,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2013,1618.81994340479,1792.61752984252,1425.39849700127
1,All Population,5,Prevalence,53590,Misamis Occidental,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2013,1627.83516603771,1809.3257144386198,1418.41429915887
1,All Population,5,Prevalence,53559,Quezon,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2014,1298.55633661116,1448.8959793216002,1133.80886032252
1,All Population,5,Prevalence,53538,Kalinga,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2014,1374.0868909277801,1534.00730770373,1212.3883267296499
1,All Population,5,Prevalence,53572,Aklan,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2014,1728.36076520981,1916.6630524204802,1519.1627178685799
1,All Population,5,Prevalence,53549,Zambales,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2013,1413.96503834739,1564.6893473691002,1241.73523939418
1,All Population,5,Prevalence,53570,Camarines Sur,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2013,1253.88223424173,1394.75827629365,1095.7404579542401
1,All Population,5,Prevalence,53544,Cagayan,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2013,1589.4411197649902,1766.43185051653,1392.64541994077
1,All Population,5,Prevalence,53606,Surigao Del Sur,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2014,1521.14617410517,1688.7259888491799,1328.89805206711
1,All Population,5,Prevalence,53577,Negros Oriental,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2013,1408.52769003144,1570.02197172714,1233.42449235924
1,All Population,5,Prevalence,53577,Negros Oriental,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2014,1404.13437212335,1571.9976991073502,1223.89701947519
1,All Population,5,Prevalence,53607,Surigao Del Norte,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2013,1334.3710204113002,1499.88638508208,1161.22365769984
1,All Population,5,Prevalence,53564,Marinduque,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2014,1921.73713795912,2099.63002057455,1708.58611032429
1,All Population,5,Prevalence,53611,Sulu,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2014,922.18838753535,1023.1251320529201,827.37185033159
1,All Population,5,Prevalence,53557,Laguna,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2013,1232.2939289962098,1389.3400485364,1069.32721121843
1,All Population,5,Prevalence,53604,Agusan Del Norte,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2013,1098.00929455213,1228.4123991506299,956.41732336806
1,All Population,5,Prevalence,53574,Negros Occidental,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2014,1629.54520336131,1791.28874541622,1430.29546796366
1,All Population,5,Prevalence,53594,Camiguin,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2013,1682.12994687202,1872.51946134649,1482.41850225396
1,All Population,5,Prevalence,53585,Leyte,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2014,1360.69190045898,1525.7381860706998,1187.71600876012
1,All Population,5,Prevalence,53585,Leyte,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2013,1375.19873741915,1542.24976385831,1197.21984874978
1,All Population,5,Prevalence,16,Philippines,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2014,1382.9598448873498,1524.19467184207,1218.45868415384
1,All Population,5,Prevalence,53553,Nueva Ecija,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2014,2178.89754771879,2323.93735970621,2004.5723900344099
1,All Population,5,Prevalence,53551,Pampanga,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2013,1274.98906775134,1424.86042017108,1115.71420195392
1,All Population,5,Prevalence,53559,Quezon,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2013,1315.07330299554,1459.99751658173,1141.2038654831401
1,All Population,5,Prevalence,53613,Lanao Del Sur,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2014,907.6622992970299,1008.3489053715699,803.09033322762
1,All Population,5,Prevalence,53564,Marinduque,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2013,1934.1760179047699,2112.3563996645003,1715.3239450231301
1,All Population,5,Prevalence,53566,Camarines Norte,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2014,1402.9388488326,1545.62673601089,1234.2853841583399
1,All Population,5,Prevalence,53596,Davao de Oro,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2013,1228.85445004053,1374.37202788128,1075.47343744344
1,All Population,5,Prevalence,53600,South Cotabato,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2014,1198.10802678543,1329.83412948367,1054.9049772778599
1,All Population,5,Prevalence,53573,Antique,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2013,1795.7202295542902,1986.01242396986,1599.18977395236
1,All Population,5,Prevalence,16,Philippines,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2013,1389.87491469237,1529.83329615256,1226.63383792528
1,All Population,5,Prevalence,53538,Kalinga,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2013,1365.67159609054,1516.80101226651,1192.9568109372801
1,All Population,5,Prevalence,53568,Albay,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2014,1314.82516571897,1469.1636381323901,1142.3156160902302
1,All Population,5,Prevalence,53606,Surigao Del Sur,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2013,1518.2384459964298,1687.38335927533,1326.7938259929
1,All Population,5,Prevalence,53592,Lanao Del Norte,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2013,1079.70939940164,1222.2169855239,943.19564640515
1,All Population,5,Prevalence,53598,Davao Occidental,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2013,1036.12776697001,1160.3923206760699,901.79162741068
1,All Population,5,Prevalence,53540,Ilocos Norte,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2014,1796.3630768931298,1990.8676691652302,1566.05153147399
1,All Population,5,Prevalence,53612,Maguindanao,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2013,943.3143330111299,1045.2802410833199,832.4073768571101
1,All Population,5,Prevalence,53534,Ifugao,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2014,1103.59011157801,1249.04540128987,957.4836175022401
1,All Population,5,Prevalence,53535,Benguet,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2014,851.2881044111799,967.2201931644701,736.8006126816
1,All Population,5,Prevalence,53614,National Capital Region,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2013,1677.32848852975,1808.7424871150602,1518.6336143595302
1,All Population,5,Prevalence,53537,Apayao,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2014,1471.70007447589,1633.03767326809,1290.87892576332
1,All Population,5,Prevalence,53592,Lanao Del Norte,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2014,1073.39319953165,1227.25120981615,932.43802376369
1,All Population,5,Prevalence,53579,Bohol,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2014,1588.63095574009,1774.37189767176,1397.09160117081
1,All Population,5,Prevalence,53570,Camarines Sur,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2014,1242.01805731881,1385.749858582,1086.37206847981
1,All Population,5,Prevalence,53575,Iloilo,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2013,1676.2868091171001,1842.1763636581798,1478.55874837557
1,All Population,5,Prevalence,53609,Tawi-Tawi,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2013,1034.18628333122,1160.40285744722,918.5764259102299
1,All Population,5,Prevalence,53555,Rizal,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2014,1077.10956445862,1230.87464444643,927.40760311387
1,All Population,5,Prevalence,53607,Surigao Del Norte,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2014,1321.55911062561,1490.34042874964,1149.1694562837502
1,All Population,5,Prevalence,53578,Cebu,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2013,1086.66560153062,1220.73072349662,960.20604275379
1,All Population,5,Prevalence,53587,Zamboanga Sibugay,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2014,1263.11763883223,1407.75569489975,1106.59137811131
1,All Population,5,Prevalence,53595,Davao Oriental,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2014,1226.10467065846,1384.53335286532,1087.57880359128
1,All Population,5,Prevalence,53582,Eastern Samar,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2014,1436.5874210316701,1616.9741441609701,1249.80515052764
1,All Population,5,Prevalence,53565,Catanduanes,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2013,1383.0986579790201,1546.13886333056,1212.11908312958
1,All Population,5,Prevalence,53539,La Union,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2013,1671.82597509935,1845.65344479412,1463.20771744841
1,All Population,5,Prevalence,53548,Bataan,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2014,1462.18357109897,1610.02566255764,1287.6961810601301
1,All Population,5,Prevalence,53599,Davao Del Norte,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2013,1303.58742068536,1456.22075242137,1147.52446076242
1,All Population,5,Prevalence,53554,Aurora,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2013,1617.85519267745,1768.8849999113102,1453.05346923719
1,All Population,5,Prevalence,53580,Siquijor,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2013,1873.75645130201,2106.58749902078,1639.0260247365202
1,All Population,5,Prevalence,53550,Tarlac,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2014,1581.2984695669802,1736.87640377907,1408.9591793821999
1,All Population,5,Prevalence,53579,Bohol,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2013,1599.06322273071,1779.17081302375,1409.33872725078
1,All Population,5,Prevalence,53547,Batanes,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2014,2012.1099678314501,2249.20302669373,1759.50290054578
1,All Population,5,Prevalence,53566,Camarines Norte,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2013,1406.03744493253,1547.71236931771,1236.50092616951
1,All Population,5,Prevalence,53567,Sorsogon,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2013,1360.94185465899,1515.1641528489502,1189.6451641246201
1,All Population,5,Prevalence,53608,Dinagat Islands,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2014,1539.1784373905,1739.3012745691299,1324.46589387857
1,All Population,5,Prevalence,53597,Davao Del Sur,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2014,897.5322862312,1023.10918407246,781.12526186685
1,All Population,5,Prevalence,53552,Bulacan,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2014,1376.31991346045,1527.93031735768,1202.31502852258
1,All Population,5,Prevalence,53582,Eastern Samar,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2013,1443.91074295985,1629.44255051619,1255.09535375362
1,All Population,5,Prevalence,53541,Ilocos Sur,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2013,1780.02416352811,1981.6001077402698,1564.98975903063
1,All Population,5,Prevalence,53569,Masbate,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2013,1305.3805914801999,1444.5663968598599,1142.2227337709
1,All Population,5,Prevalence,53546,Quirino,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2014,1568.77741662397,1724.1630644991699,1378.2362648333701
1,All Population,5,Prevalence,53593,Misamis Oriental,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2014,1080.38391834778,1219.30906742316,933.73933234076
1,All Population,5,Prevalence,53576,Guimaras,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2013,1645.8295776232399,1813.4362844762002,1448.93826896555
1,All Population,5,Prevalence,53546,Quirino,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2013,1559.86899643397,1711.1812834151801,1377.82369584942
1,All Population,5,Prevalence,53561,Oriental Mindoro,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2014,1495.6337198818,1650.5809647432802,1325.05963505607
1,All Population,5,Prevalence,53543,Nueva Vizcaya,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2013,1574.3752626273,1740.1297786203597,1378.37788344836
1,All Population,5,Prevalence,53602,Cotabato (North Cotabato),3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2014,1379.82289275432,1520.39994280016,1218.86833399754
1,All Population,5,Prevalence,53545,Isabela,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2014,1550.404919914,1708.25853103355,1366.44233162316
1,All Population,5,Prevalence,53601,Sultan Kudarat,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2013,1329.12056748304,1453.24855011289,1188.69217128174
1,All Population,5,Prevalence,53545,Isabela,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2013,1552.7766259550401,1709.0617493555,1370.76221138632
1,All Population,5,Prevalence,53584,Samar (Western Samar),3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2013,1376.02758029983,1527.05773009429,1200.74732866574
1,All Population,5,Prevalence,16,Philippines,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2015,1383.53434034426,1527.83553062541,1218.83237414709
1,All Population,5,Prevalence,53533,Mountain Province,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2013,1347.75117249581,1508.2973083659501,1182.8528888979802
1,All Population,5,Prevalence,53542,Pangasinan,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2014,1494.46710991861,1663.5799759509198,1317.9485762946501
1,All Population,5,Prevalence,53534,Ifugao,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2015,1103.90711568695,1258.9359361821,957.1011671573501
1,All Population,5,Prevalence,53556,Cavite,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2014,1172.21598510487,1320.4447049037299,1025.62928505716
1,All Population,5,Prevalence,53608,Dinagat Islands,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2013,1538.9815976033,1729.6816043367799,1323.97109229541
1,All Population,5,Prevalence,53603,Sarangani,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2014,1172.61993878575,1314.65197390239,1025.3688283994
1,All Population,5,Prevalence,53558,Batangas,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2014,1324.5715297366798,1487.02479637997,1152.19228171875
1,All Population,5,Prevalence,53576,Guimaras,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2014,1649.0744292939103,1822.71309076893,1461.70706181769
1,All Population,5,Prevalence,53599,Davao Del Norte,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2014,1295.6937665139899,1454.84173043602,1136.90126153529
1,All Population,5,Prevalence,53593,Misamis Oriental,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2013,1104.3762384262,1243.47300565091,960.73645204005
1,All Population,5,Prevalence,53533,Mountain Province,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2014,1331.85571279432,1490.81050973731,1165.8889325268099
1,All Population,5,Prevalence,53592,Lanao Del Norte,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2015,1072.03625906249,1231.31268129443,925.58033121039
1,All Population,5,Prevalence,53581,Southern Leyte,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2015,1838.7015799512,2048.51803382079,1617.59025832501
1,All Population,5,Prevalence,53610,Basilan,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2014,995.02140801616,1111.63855582203,878.58999042594
1,All Population,5,Prevalence,53561,Oriental Mindoro,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2013,1498.24919457568,1648.6734641809799,1328.03684780109
1,All Population,5,Prevalence,53557,Laguna,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2014,1229.7620619520999,1381.8072033613398,1066.9035402782802
1,All Population,5,Prevalence,53533,Mountain Province,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2015,1327.3578033906501,1491.80349510993,1156.6468503491901
1,All Population,5,Prevalence,53560,Occidental Mindoro,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2014,1376.09969463794,1503.07367847048,1216.23258803519
1,All Population,5,Prevalence,53563,Palawan,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,3,Rate,2014,1131.27884606928,1269.8495318074,995.2078859259999
