population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,6,Incidence,53597,Davao Del Sur,3,Both,23,5-14 years,322,Lower respiratory infections,3,Rate,2013,2129.95501735391,2711.33060976427,1679.85886018661
1,All Population,6,Incidence,53584,Samar (Western Samar),3,Both,23,5-14 years,322,Lower respiratory infections,3,Rate,2013,2911.68980798521,3708.50655905859,2294.5784863308
1,All Population,6,Incidence,53598,Davao Occidental,3,Both,23,5-14 years,322,Lower respiratory infections,3,Rate,2013,2683.4516958158,3297.8053464105997,2113.43137889132
1,All Population,6,Incidence,53611,Sulu,3,Both,23,5-14 years,322,Lower respiratory infections,3,Rate,2013,2609.7968192990797,3410.35967430745,2035.30135616341
1,All Population,6,Incidence,53612,Maguindanao,3,Both,23,5-14 years,322,Lower respiratory infections,3,Rate,2013,2276.93033750817,2930.68376983046,1766.36873593818
1,All Population,6,Incidence,16,Philippines,3,Both,23,5-14 years,322,Lower respiratory infections,3,Rate,2013,2211.1159858004303,2767.56647927719,1771.0820143386802
1,All Population,6,Incidence,53535,Benguet,3,Both,23,5-14 years,322,Lower respiratory infections,3,Rate,2013,2014.1182816198502,2562.40156495586,1575.9825947644902
1,All Population,6,Incidence,53533,Mountain Province,3,Both,23,5-14 years,322,Lower respiratory infections,3,Rate,2013,2252.70162363111,2846.66192129584,1786.3989587209
1,All Population,6,Incidence,53574,Negros Occidental,3,Both,23,5-14 years,322,Lower respiratory infections,3,Rate,2013,2249.49577941467,2782.69783737114,1787.32172060203
1,All Population,6,Incidence,53560,Occidental Mindoro,3,Both,23,5-14 years,322,Lower respiratory infections,3,Rate,2013,2234.10291654465,2840.53114352979,1753.66265140167
1,All Population,6,Incidence,53546,Quirino,3,Both,23,5-14 years,322,Lower respiratory infections,3,Rate,2013,2639.30498405737,3380.7606384704,2105.4832559839897
1,All Population,6,Incidence,53547,Batanes,3,Both,23,5-14 years,322,Lower respiratory infections,3,Rate,2013,2809.3179585428898,3569.4031600699996,2194.77641922604
1,All Population,6,Incidence,53548,Bataan,3,Both,23,5-14 years,322,Lower respiratory infections,3,Rate,2013,1989.95847994457,2531.72156325485,1586.48766345766
1,All Population,6,Incidence,53553,Nueva Ecija,3,Both,23,5-14 years,322,Lower respiratory infections,3,Rate,2013,1985.6175212766302,2547.3433333169,1579.8998542016998
1,All Population,6,Incidence,53595,Davao Oriental,3,Both,23,5-14 years,322,Lower respiratory infections,3,Rate,2013,2903.0407892037197,3656.1142458380104,2261.8652868477902
1,All Population,6,Incidence,53609,Tawi-Tawi,3,Both,23,5-14 years,322,Lower respiratory infections,3,Rate,2013,2273.64359939844,2881.63674528303,1818.4720963528698
1,All Population,6,Incidence,53575,Iloilo,3,Both,23,5-14 years,322,Lower respiratory infections,3,Rate,2013,2395.20039489521,2932.56206337181,1889.8360762285502
1,All Population,6,Incidence,53610,Basilan,3,Both,23,5-14 years,322,Lower respiratory infections,3,Rate,2013,1679.41923025211,2169.39688796887,1297.7069893191801
1,All Population,6,Incidence,53596,Davao de Oro,3,Both,23,5-14 years,322,Lower respiratory infections,3,Rate,2013,2468.0435373642,3142.59430640011,1939.26450108391
1,All Population,6,Incidence,53563,Palawan,3,Both,23,5-14 years,322,Lower respiratory infections,3,Rate,2013,2452.8213092739197,3102.93928557956,1971.35765747542
1,All Population,6,Incidence,53561,Oriental Mindoro,3,Both,23,5-14 years,322,Lower respiratory infections,3,Rate,2013,1990.64539574626,2476.56689771587,1559.69238722348
1,All Population,6,Incidence,53576,Guimaras,3,Both,23,5-14 years,322,Lower respiratory infections,3,Rate,2013,2175.7758941675897,2716.9395242636197,1748.9189425858701
1,All Population,6,Incidence,53549,Zambales,3,Both,23,5-14 years,322,Lower respiratory infections,3,Rate,2013,2186.37262962679,2730.72584793085,1754.77247700408
1,All Population,6,Incidence,53562,Romblon,3,Both,23,5-14 years,322,Lower respiratory infections,3,Rate,2013,2258.2741521175403,2774.37199589887,1796.10258802105
1,All Population,6,Incidence,53577,Negros Oriental,3,Both,23,5-14 years,322,Lower respiratory infections,3,Rate,2013,2184.0538499404297,2825.66073611977,1722.4252644119701
1,All Population,6,Incidence,53534,Ifugao,3,Both,23,5-14 years,322,Lower respiratory infections,3,Rate,2013,2267.92836906811,2921.96417908442,1786.4003267262601
1,All Population,6,Incidence,53581,Southern Leyte,3,Both,23,5-14 years,322,Lower respiratory infections,3,Rate,2013,2206.9101863380297,2665.1682961616198,1773.88675443042
