region_dropped,beta,se,t_stat,p_value,within_r2,n_regions_remaining,n_obs
BARMM,-2.6357,0.8615,-3.0593,0.0027,0.083,16,160
CAR,-2.5069,0.8975,-2.7932,0.006,0.0799,16,160
NCR,-1.4157,0.699,-2.0253,0.0448,0.018,16,160
Region I,-2.8116,0.7788,-3.61,0.0004,0.1003,16,160
Region II,-2.5486,0.9472,-2.6907,0.008,0.0875,16,160
Region III,-2.7111,0.8949,-3.0294,0.0029,0.0929,16,160
Region IV-A,-2.7748,0.6762,-4.1037,0.0001,0.1048,16,160
Region IV-B,-2.5078,0.8514,-2.9453,0.0038,0.0786,16,160
Region IX,-2.5161,0.8509,-2.9571,0.0037,0.0758,16,160
Region V,-2.52,0.8306,-3.0338,0.0029,0.078,16,160
Region VI,-2.6156,0.8237,-3.1755,0.0019,0.0833,16,160
Region VII,-2.6248,0.7923,-3.3129,0.0012,0.0838,16,160
Region VIII,-2.4565,0.7809,-3.1457,0.002,0.0852,16,160
Region X,-2.6866,0.8217,-3.2696,0.0014,0.0843,16,160
Region XI,-2.4758,0.8967,-2.7609,0.0066,0.0728,16,160
Region XII,-2.518,0.845,-2.98,0.0034,0.0799,16,160
Region XIII,-2.6603,0.8193,-3.247,0.0015,0.0825,16,160
