region,lon,lat,n_provinces
BARMM,123.28993268212993,6.922795438956065,5.0
CAR,121.04895164823712,17.359239090970018,6.0
NCR,121.0325745374004,14.5987356571727,1.0
Region I,120.48686986739743,16.908780007204815,4.0
Region II,121.73008415266875,17.207388132865994,5.0
Region III,120.82459392069941,15.390536010949361,7.0
Region IV-A,121.55146140012705,14.173536503832487,5.0
Region IV-B,119.90489400789603,11.357789030613164,5.0
Region IX,122.86034287671367,7.842402570248596,3.0
Region V,123.47396505117344,13.273057145042767,6.0
Region VI,122.65355223804632,10.834633050291336,6.0
Region VII,123.62337729492315,9.923194307185389,4.0
Region VIII,124.95347767207126,11.536955379200505,6.0
Region X,124.66054485036102,8.189624791905835,5.0
Region XI,125.83181747116545,7.21004774283321,4.0
Region XII,124.8112320760862,6.622784194081537,4.0
Region XIII,125.79005539393215,8.813835553148166,5.0
